Date,Open,High,Low,Close,Volume
2013-01-02,50.08,51.24,49.9732,51.0,552543
2013-01-03,51.25,51.59,51.0,51.33,758048
2013-01-04,51.14,51.34,50.56,51.22,744165
2013-01-07,50.82,51.18,50.34,50.75,597003
2013-01-08,50.83,51.59,50.75,51.4,636944
2013-01-09,51.57,53.82,51.53,53.77,870269
2013-01-10,53.79,54.01,52.86,53.03,859336
2013-01-11,52.87,53.58,52.82,53.2,517141
2013-01-14,53.47,54.28,53.13,53.95,518004
2013-01-15,53.25,54.43,53.25,54.42,344494
2013-01-16,54.06,61.32,53.68,54.52,417871
2013-01-17,54.45,55.705,54.02,55.56,969546
2013-01-18,55.57,56.11,54.975,56.11,463730
2013-01-22,55.81,56.63,55.33,56.62,233535
2013-01-23,56.41,57.11,55.9301,56.66,665822
2013-01-24,56.54,57.69,56.54,57.43,617475
2013-01-25,58.77,60.95,57.7,58.16,828254
2013-01-28,58.32,58.73,57.67,58.3,305029
2013-01-29,58.27,58.5,57.12,57.55,509560
2013-01-30,58.0,58.0,56.69,56.84,384838
2013-01-31,57.02,57.1623,56.13,56.97,494803
2013-02-01,57.8,59.34,57.06,58.55,743575
2013-02-04,58.31,58.6,57.5001,57.83,378041
2013-02-05,57.93,58.03,57.53,57.71,324961
2013-02-06,58.0,58.01,57.0,57.55,568662
2013-02-07,57.39,57.84,56.94,57.78,396902
2013-02-08,58.1,58.6,57.91,58.11,274236
2013-02-11,58.1,58.16,57.3,57.94,169512
2013-02-12,57.89,59.22,57.805,58.69,490809
2013-02-13,58.74,59.99,58.74,59.76,771210
2013-02-14,59.7,59.91,58.93,59.44,539367
2013-02-15,59.4,60.05,59.28,59.68,536773
2013-02-19,59.6,59.66,58.4,58.986,600142
2013-02-20,59.09,59.73,59.02,59.68,498970
2013-02-21,59.52,59.64,58.25,58.97,581829
2013-02-22,58.98,59.67,58.57,59.04,719642
2013-02-25,59.06,59.58,57.99,58.07,997750
2013-02-26,51.91,56.29,50.0,56.0,2826158
2013-02-27,56.15,58.23,55.38,57.03,1025564
2013-02-28,57.0,57.56,56.4,57.4,599865
2013-03-01,57.25,57.41,56.64,56.99,875439
2013-03-04,56.72,57.51,56.71,57.14,759972
2013-03-05,57.33,58.375,57.15,58.25,704649
2013-03-06,58.48,59.39,58.465,58.7,616498
2013-03-07,58.62,59.18,57.98,58.86,410510
2013-03-08,59.21,59.48,58.365,59.27,426751
2013-03-11,59.46,60.4,59.11,59.85,796438
2013-03-12,58.98,59.67,58.84,59.25,597508
2013-03-13,59.17,59.67,58.9801,59.29,397918
2013-03-14,59.42,59.84,59.11,59.74,408874
2013-03-15,59.93,61.65,59.74,61.31,1340110
2013-03-18,60.98,61.92,60.36,61.7,708369
2013-03-19,62.73,62.8099,60.65,61.07,509166
2013-03-20,61.46,61.96,61.1,61.31,355963
2013-03-21,61.01,61.6799,60.73,60.88,380181
2013-03-22,61.2,62.34,61.2,61.78,441272
2013-03-25,62.16,62.52,61.87,62.31,500559
2013-03-26,62.31,62.8,62.15,62.68,493687
2013-03-27,62.25,63.045,62.2201,62.755,601653
2013-03-28,62.4,63.26,62.32,63.22,518402
2013-04-01,63.02,63.11,61.7,61.86,471174
2013-04-02,62.24,62.3,61.36,61.67,400234
2013-04-03,61.79,61.79,59.56,60.46,613388
2013-04-04,60.48,62.59,60.06,62.54,435667
2013-04-05,61.85,63.33,61.85,63.24,493162
2013-04-08,62.88,64.34,62.77,64.33,221830
2013-04-09,65.28,65.28,63.97,64.61,621477
2013-04-10,64.64,66.126,64.64,65.04,617915
2013-04-11,65.0,65.33,64.77,65.28,374537
2013-04-12,65.61,66.035,65.15,65.82,504367
2013-04-15,65.7,65.76,63.98,64.26,371906
2013-04-16,64.63,65.4,64.41,65.34,504914
2013-04-17,65.48,66.04,63.865,64.71,521882
2013-04-18,65.26,65.46,62.86,63.28,358403
2013-04-19,63.45,64.5,63.33,64.07,400380
2013-04-22,64.05,64.97,63.93,64.7,370644
2013-04-23,65.02,66.265,64.82,65.85,656396
2013-04-24,65.41,65.72,63.64,64.0,597299
2013-04-25,63.81,64.17,63.079,63.41,697686
2013-04-26,63.06,63.72,63.06,63.43,470406
2013-04-29,63.26,63.94,63.06,63.65,254100
2013-04-30,63.79,63.89,62.7,63.01,434545
2013-05-01,62.82,63.88,62.52,63.17,572954
2013-05-02,63.17,64.43,62.76,63.43,483618
2013-05-03,63.3,64.885,63.06,64.02,902548
2013-05-06,64.0,64.48,63.94,64.2,479557
2013-05-07,64.14,65.56,64.0201,65.095,668401
2013-05-08,65.11,65.71,64.0,64.65,875036
2013-05-09,67.36,70.65,65.75,66.44,1791288
2013-05-10,66.44,66.835,65.69,66.64,706882
2013-05-13,66.65,66.92,65.73,66.39,437257
2013-05-14,66.73,66.89,65.99,66.4,661974
2013-05-15,66.06,66.49,65.11,66.19,587963
2013-05-16,66.0,66.3,65.74,65.84,808342
2013-05-17,66.64,66.74,65.86,66.44,1042994
2013-05-20,66.44,66.63,65.84,66.28,855198
2013-05-21,66.08,67.85,66.01,67.72,805553
2013-05-22,67.46,67.9,66.61,67.05,849354
2013-05-23,66.86,66.86,65.26,66.69,850142
2013-05-24,66.59,67.0425,65.55,65.9,197373
2013-05-28,66.47,67.46,66.1101,67.41,333357
2013-05-29,67.21,67.27,66.77,66.81,620049
2013-05-30,67.03,67.28,65.22,65.42,451240
2013-05-31,65.37,65.79,64.01,64.02,378807
2013-06-03,63.357,64.5475,62.68,63.84,550740
2013-06-04,63.73,64.78,63.09,63.72,447789
2013-06-05,63.47,63.47,62.02,62.09,334070
2013-06-06,61.92,63.86,61.64,63.82,408966
2013-06-07,63.98,65.49,63.61,65.38,478608
2013-06-10,68.34,68.34,65.19,65.39,320664
2013-06-11,65.11,65.35,64.49,64.72,316642
2013-06-12,65.08,65.1099,62.85,63.43,406467
2013-06-13,61.01,64.43,61.01,64.0,728747
2013-06-14,64.0,64.43,63.8,63.86,244594
2013-06-17,64.36,64.688,63.64,63.71,628969
2013-06-18,63.65,64.68,63.65,64.19,397370
2013-06-19,64.11,65.08,64.11,64.66,482556
2013-06-20,64.31,64.41,63.34,63.45,549832
2013-06-21,63.85,64.52,63.2,63.44,641626
2013-06-24,63.08,63.216,61.68,62.27,291210
2013-06-25,62.55,63.94,61.93,63.63,183024
2013-06-26,64.1,64.26,63.3,63.74,308166
2013-06-27,63.86,65.09,63.53,64.75,275389
2013-06-28,64.79,65.72,64.62,65.33,992266
2013-07-01,65.54,66.44,65.29,65.52,342645
2013-07-02,65.64,66.03,65.23,65.77,281779
2013-07-03,65.44,66.44,65.17,66.0,225239
2013-07-05,66.48,66.88,66.03,66.84,256275
2013-07-08,67.0,68.69,66.9,68.6,488159
2013-07-09,68.63,69.26,68.32,68.34,357681
2013-07-10,68.24,68.58,67.56,68.04,328299
2013-07-11,68.52,69.05,68.5,68.67,561317
2013-07-12,68.67,68.91,68.29,68.6,256897
2013-07-15,68.55,68.89,68.045,68.59,347048
2013-07-16,68.59,68.87,67.98,68.04,574637
2013-07-17,68.51,68.51,67.41,67.67,267971
2013-07-18,67.94,68.78,67.83,68.74,274058
2013-07-19,68.54,69.535,68.26,69.27,315997
2013-07-22,69.11,69.93,68.73,69.17,493495
2013-07-23,69.53,69.91,68.32,68.59,293296
2013-07-24,68.82,69.39,67.94,68.36,315558
2013-07-25,68.46,68.815,67.84,68.44,152166
2013-07-26,68.0,68.21,67.26,67.89,242375
