Date,Open,High,Low,Close,Volume
2013-01-02,69.01,69.6,68.6213,69.26,16954
2013-01-03,69.36,69.83,69.01,69.6,7959
2013-01-04,69.85,70.189,69.48,69.74,12812
2013-01-07,69.66,70.45,69.56,69.57,8962
2013-01-08,69.43,70.16,69.1,69.89,9205
2013-01-09,70.42,70.85,69.35,70.39,22944
2013-01-10,70.35,71.39,69.85,71.05,10364
2013-01-11,71.24,72.37,71.0,71.98,14424
2013-01-14,71.755,72.89,71.755,72.59,11736
2013-01-15,72.6,73.6,72.6,73.57,17283
2013-01-16,73.47,74.43,73.0,74.21,15951
2013-01-17,74.74,75.98,74.0501,75.63,22587
2013-01-18,74.7,76.96,74.7,76.58,44130
2013-01-22,76.78,77.43,76.71,77.05,18956
2013-01-23,76.8,77.557,76.251,77.04,33685
2013-01-24,76.7,78.24,76.7,77.24,30078
2013-01-25,77.18,78.02,76.85,77.14,28224
2013-01-28,77.46,78.0,77.04,77.61,32742
2013-01-29,77.98,78.5,77.3468,78.15,30644
2013-01-30,78.0,79.21,77.96,79.05,24989
2013-01-31,79.15,79.15,75.98,77.21,35716
2013-02-01,77.23,78.99,77.22,78.28,11601
2013-02-04,77.76,78.9,77.76,78.48,13902
2013-02-05,79.2,79.81,78.97,79.78,9805
2013-02-06,79.78,79.82,78.6,79.36,19950
2013-02-07,78.76,80.27,78.4601,79.95,25470
2013-02-08,80.65,81.3,80.35,80.61,6310
2013-02-11,81.43,82.19,80.396,81.74,19597
2013-02-12,81.83,82.48,80.61,81.75,21944
2013-02-13,82.23,82.565,81.02,82.19,15028
2013-02-14,81.91,81.948,81.1,81.29,7600
2013-02-15,81.27,81.3,79.83,79.83,12937
2013-02-19,79.75,82.66,79.75,82.66,24717
2013-02-20,82.81,82.92,80.62,80.62,17142
2013-02-21,81.28,82.48,78.012,81.65,19421
2013-02-22,81.85,82.95,80.76,82.19,18709
2013-02-25,83.05,83.98,81.19,81.82,35423
2013-02-26,81.97,83.85,80.08,83.23,48420
2013-02-27,83.59,84.78,80.77,81.51,28714
2013-02-28,81.83,82.03,80.06,80.37,22878
2013-03-01,80.64,80.64,79.0,80.05,12128
2013-03-04,79.44,80.766,79.01,80.16,17844
2013-03-05,80.91,81.4,80.21,81.04,12180
2013-03-06,80.755,81.22,80.0501,80.08,4286
2013-03-07,80.17,81.64,80.17,81.31,11258
2013-03-08,80.41,81.76,80.41,81.69,9180
2013-03-11,81.19,81.74,80.42,81.65,8371
2013-03-12,81.77,82.95,81.77,82.14,3482
2013-03-13,81.965,82.7,81.64,81.64,8681
2013-03-14,81.75,82.19,81.66,81.74,8712
2013-03-15,82.1,83.02,81.9,83.02,30125
2013-03-18,82.31,83.48,82.0,82.72,3806
2013-03-19,83.29,83.5,82.058,83.13,11203
2013-03-20,83.46,83.92,82.3401,83.7,7896
2013-03-21,83.12,84.02,83.12,83.6,3668
2013-03-22,84.7599,85.41,83.9,84.19,8380
2013-03-25,84.89,85.84,83.68,85.3,14170
2013-03-26,86.0,86.0,85.24,85.63,15762
2013-03-27,85.48,86.0,85.2,85.81,2548
2013-03-28,86.16,87.3399,85.2501,86.87,24336
2013-04-01,87.35,87.659,86.55,87.27,9310
2013-04-02,87.68,88.274,85.81,85.82,6391
2013-04-03,85.56,86.92,84.79,85.09,30883
2013-04-04,85.08,86.08,84.62,85.9,13724
2013-04-05,85.22,87.33,85.22,87.13,4497
2013-04-08,87.19,87.34,86.535,87.1,8880
2013-04-09,87.33,87.35,86.13,86.89,16281
2013-04-10,86.82,88.52,86.82,87.82,18853
2013-04-11,88.3,89.024,86.86,88.21,23240
2013-04-12,87.59,89.02,87.22,88.1,21180
2013-04-15,87.68,88.73,86.0,86.71,15489
2013-04-16,87.59,90.5,86.85,90.3,39223
2013-04-17,90.3,91.319,88.46,89.21,38557
2013-04-18,89.8,90.01,87.75,87.75,17927
2013-04-19,88.42,88.7499,87.03,87.24,12864
2013-04-22,87.1,87.32,86.58,86.95,14926
2013-04-23,86.0,87.3,86.0,87.11,23994
2013-04-24,87.32,89.2,86.0,88.61,13193
2013-04-25,89.33,92.18,88.99,92.0,19620
2013-04-26,91.46,92.5199,90.9001,91.24,19408
2013-04-29,91.54,92.7599,91.37,91.37,7562
2013-04-30,91.41,94.03,91.41,94.03,12593
2013-05-01,94.0,95.62,93.63,94.93,33416
2013-05-02,95.4,97.12,95.29,97.12,17892
2013-05-03,97.53,98.999,97.53,98.2,15732
2013-05-06,98.4,99.2,97.85,98.02,14078
2013-05-07,98.77,99.4,98.13,98.9,6588
2013-05-08,98.9,99.0,97.8101,99.0,7693
2013-05-09,98.58,98.902,97.11,97.74,8905
2013-05-10,97.6,97.93,97.171,97.75,2898
2013-05-13,95.7064,98.0,95.7006,97.95,6352
2013-05-14,97.7,98.51,96.95,98.51,5309
2013-05-15,98.29,99.4675,98.29,98.61,14164
2013-05-16,98.54,99.36,98.48,98.7,7345
2013-05-17,99.15,99.48,98.46,98.48,9416
2013-05-20,98.28,99.12,98.28,98.55,3863
2013-05-21,98.95,99.3,98.46,98.73,5028
2013-05-22,98.75,99.4,98.34,99.4,14874
2013-05-23,98.84,99.39,98.52,99.39,7708
2013-05-24,98.81,98.81,98.53,98.7,1217
2013-05-28,99.38,100.58,99.38,100.51,4558
2013-05-29,100.01,101.24,99.92,100.44,43652
2013-05-30,100.85,101.35,100.15,100.92,21333
2013-05-31,100.25,101.18,98.2801,99.88,28464
