Date,Open,High,Low,Close,Volume
2013-01-02,55.12,55.6771,55.02,55.51,158494
2013-01-03,55.64,56.37,55.21,56.26,127444
2013-01-04,56.2,56.58,55.89,56.33,113435
2013-01-07,56.28,56.375,55.53,55.61,79097
2013-01-08,55.68,55.68,54.97,55.1,134075
2013-01-09,55.25,55.82,54.68,55.59,114280
2013-01-10,55.61,56.07,55.44,56.05,88852
2013-01-11,55.67,55.82,55.06,55.74,113106
2013-01-14,55.49,55.84,55.34,55.7,64272
2013-01-15,55.64,56.08,55.12,56.03,53448
2013-01-16,56.25,56.32,55.84,56.0,58113
2013-01-17,56.36,57.01,56.25,56.73,56691
2013-01-18,56.89,56.99,56.3,56.45,24761
2013-01-22,56.58,56.8,55.75,56.71,46401
2013-01-23,56.66,56.725,56.31,56.39,46561
2013-01-24,56.35,56.88,56.02,56.25,103013
2013-01-25,56.26,56.35,55.7,55.95,80686
2013-01-28,55.99,56.89,55.99,56.6,86523
2013-01-29,56.62,56.9,56.09,56.42,73678
2013-01-30,56.24,56.51,55.81,55.88,141560
2013-01-31,55.88,56.27,55.65,56.05,81307
2013-02-01,56.16,56.44,56.0,56.43,92549
2013-02-04,56.43,56.43,55.82,56.1,75306
2013-02-05,56.36,57.14,56.36,57.13,71155
2013-02-06,57.12,57.25,56.88,57.19,41898
2013-02-07,56.94,57.51,56.8101,57.4,137866
2013-02-08,57.4,57.75,57.27,57.56,178705
2013-02-11,57.43,57.7993,57.04,57.57,123048
2013-02-12,57.55,58.17,57.55,58.0,87368
2013-02-13,57.79,58.006,57.61,57.9,67538
2013-02-14,57.52,58.27,57.52,57.92,62674
2013-02-15,58.0,58.07,57.35,57.73,43422
2013-02-19,57.91,58.57,57.73,58.43,148708
2013-02-20,58.55,58.93,58.3953,58.55,73458
2013-02-21,58.65,59.16,58.31,58.43,95410
2013-02-22,58.83,59.605,58.83,59.58,78817
2013-02-25,59.75,59.75,58.35,58.37,113949
2013-02-26,58.76,58.95,58.04,58.42,101326
2013-02-27,58.43,59.04,58.21,58.82,43590
2013-02-28,58.88,59.48,58.632,59.43,83482
2013-03-01,59.42,59.74,58.96,59.55,107405
2013-03-04,59.61,59.93,59.2,59.66,123934
2013-03-05,60.0,60.45,59.2601,60.02,85491
2013-03-06,60.19,60.32,59.7,59.99,60555
2013-03-07,59.92,60.51,59.82,60.17,46435
2013-03-08,60.29,60.64,59.97,60.44,37913
2013-03-11,60.51,60.75,59.7501,60.66,23982
2013-03-12,60.75,60.93,60.4525,60.74,50647
2013-03-13,60.75,61.26,60.75,60.98,78554
2013-03-14,61.18,61.69,61.06,61.64,34220
2013-03-15,61.75,62.21,61.52,62.13,217512
2013-03-18,61.95,62.135,61.49,62.02,66150
2013-03-19,62.23,62.47,61.9,62.15,47408
2013-03-20,62.77,62.86,62.3,62.63,50723
2013-03-21,62.57,62.75,62.06,62.41,48388
2013-03-22,62.65,62.73,61.83,62.38,92778
2013-03-25,62.66,62.84,62.29,62.67,74581
2013-03-26,62.7,63.0725,62.42,62.77,39449
2013-03-27,62.66,62.66,62.08,62.24,68476
2013-03-28,62.18,62.46,61.92,62.3,53919
2013-04-01,62.3,62.37,61.72,62.37,58058
2013-04-02,62.71,62.8,61.96,62.22,77836
2013-04-03,62.4,62.53,61.305,61.7,80449
2013-04-04,61.97,62.12,61.5,61.97,66471
2013-04-05,61.35,62.06,61.02,61.88,66637
2013-04-08,62.05,62.44,61.32,62.37,25607
2013-04-09,62.25,62.27,61.66,62.0,20551
2013-04-10,61.99,62.32,61.87,62.08,82176
2013-04-11,62.18,62.28,61.52,62.01,45452
2013-04-12,61.83,61.99,61.43,61.89,54779
2013-04-15,62.01,62.01,60.4,60.52,68790
2013-04-16,60.94,61.74,60.54,61.68,46084
2013-04-17,61.06,61.81,61.01,61.51,86847
2013-04-18,61.47,61.74,61.0625,61.47,65526
2013-04-19,61.73,62.17,61.44,61.97,36036
2013-04-22,61.97,62.06,61.26,61.58,64939
2013-04-23,61.9,62.17,61.4101,62.13,27669
2013-04-24,62.23,62.31,61.57,62.31,53600
2013-04-25,62.55,62.73,61.74,62.09,40595
2013-04-26,61.95,61.995,61.43,61.78,57997
2013-04-29,62.21,62.65,61.994,62.41,31635
2013-04-30,62.94,62.94,61.796,62.49,56604
2013-05-01,62.52,62.85,61.91,62.1,51708
2013-05-02,62.55,63.835,62.41,63.3,61099
2013-05-03,64.0,64.239,63.092,63.53,87854
2013-05-06,63.66,64.67,63.66,64.16,40777
2013-05-07,64.47,65.45,64.43,64.98,45035
2013-05-08,65.01,65.38,64.501,64.85,58594
2013-05-09,64.72,64.73,64.15,64.35,25778
