Date,Open,High,Low,Close,Volume
2013-01-02,33.98,34.65,33.41,34.39,505863
2013-01-03,34.42,34.56,33.64,34.06,252684
2013-01-04,34.29,34.68,33.78,34.15,125602
2013-01-07,34.09,34.5975,33.82,34.18,132133
2013-01-08,34.02,34.7719,32.52,33.56,194302
2013-01-09,33.78,34.68,33.74,34.44,200045
2013-01-10,34.62,34.86,34.066,34.59,202978
2013-01-11,34.73,34.8,34.01,34.09,127339
2013-01-14,33.97,34.48,33.94,34.12,153834
2013-01-15,33.94,35.06,33.88,34.99,256152
2013-01-16,34.79,35.38,34.5,34.72,150111
2013-01-17,34.79,35.89,34.78,35.88,176107
2013-01-18,35.75,35.888,34.48,35.71,275708
2013-01-22,35.73,35.95,35.24,35.39,140177
2013-01-23,35.74,36.97,35.4,36.87,336632
2013-01-24,36.79,37.6,36.39,37.17,485924
2013-01-25,37.18,37.74,36.99,37.6,215843
2013-01-28,37.5,37.8599,36.65,36.9,413270
2013-01-29,36.75,37.065,35.97,36.02,398621
2013-01-30,35.91,36.2,35.17,35.52,320604
2013-01-31,36.86,36.88,35.59,35.85,683057
2013-02-01,34.27,35.14,32.64,33.97,1650841
2013-02-04,33.77,34.21,32.63,32.69,630892
2013-02-05,32.88,33.71,31.85,33.67,642644
2013-02-06,33.5,33.79,32.92,33.21,357934
2013-02-07,33.25,34.0,32.34,33.58,270224
2013-02-08,33.7,35.25,33.53,34.55,292118
2013-02-11,34.5,35.19,34.24,34.46,143589
2013-02-12,34.47,34.65,34.08,34.38,100488
2013-02-13,34.5,35.01,34.24,34.77,200139
2013-02-14,35.75,36.23,35.33,35.74,252240
2013-02-15,36.52,37.0,35.76,36.37,224957
2013-02-19,36.27,36.69,36.19,36.36,160036
2013-02-20,36.31,36.81,35.92,36.32,165108
2013-02-21,36.25,36.25,34.51,35.38,326158
2013-02-22,35.81,35.94,34.99,35.91,124956
2013-02-25,36.0,36.08,35.23,35.34,559878
2013-02-26,35.5,35.61,35.02,35.15,320801
2013-02-27,35.22,35.58,35.18,35.37,407098
2013-02-28,35.22,35.55,34.98,35.0,246736
2013-03-01,34.67,35.16,33.0,33.4,4096432
2013-03-04,33.42,34.28,33.26,33.9,769775
2013-03-05,34.19,34.19,33.81,33.9,611513
2013-03-06,33.95,34.92,33.92,34.86,580458
2013-03-07,35.05,35.96,34.92,35.88,512904
2013-03-08,36.25,37.398,35.8,37.18,416763
2013-03-11,36.9,39.29,36.9,39.02,714888
2013-03-12,38.76,39.3,37.77,38.25,636532
2013-03-13,38.16,39.35,38.16,38.89,333066
2013-03-14,38.84,40.3,38.84,40.17,509797
2013-03-15,40.02,40.76,39.61,39.75,443728
2013-03-18,39.25,40.04,39.25,39.57,202231
2013-03-19,39.77,40.35,39.4801,39.92,420368
2013-03-20,40.04,40.42,40.0,40.18,278068
2013-03-21,39.83,40.56,39.63,39.85,241642
2013-03-22,39.79,40.08,39.53,39.59,147286
2013-03-25,39.66,40.02,39.0,39.27,194645
2013-03-26,39.6,39.98,39.01,39.43,138067
2013-03-27,39.1,39.45,39.05,39.09,108344
2013-03-28,39.29,39.39,38.29,38.66,361402
2013-04-01,38.72,38.865,37.75,37.89,362206
2013-04-02,38.19,38.43,37.5,37.62,197257
2013-04-03,37.63,38.07,36.89,37.22,219122
2013-04-04,37.33,37.73,37.16,37.31,182919
2013-04-05,36.65,37.37,36.65,37.24,157693
2013-04-08,37.42,37.47,36.51,37.01,233405
2013-04-09,37.19,37.38,36.64,36.75,245486
2013-04-10,36.84,39.79,36.63,39.25,855578
2013-04-11,39.05,40.0,39.04,39.61,372127
2013-04-12,39.32,39.7499,38.64,39.21,249685
2013-04-15,38.85,38.93,37.37,37.43,338935
2013-04-16,37.78,38.74,37.09,38.54,330141
2013-04-17,38.09,38.34,37.02,37.27,365981
2013-04-18,37.27,38.27,36.58,37.91,421039
2013-04-19,38.03,39.17,38.03,38.82,450720
2013-04-22,38.99,40.04,38.85,39.98,460061
2013-04-23,40.07,41.94,40.05,40.88,551229
2013-04-24,40.91,41.38,39.87,39.94,343626
2013-04-25,40.18,41.5,40.0106,40.89,562163
2013-04-26,40.25,43.46,40.17,42.39,811954
2013-04-29,42.69,42.77,41.25,41.39,716216
2013-04-30,41.5,41.5,40.17,40.8,369923
2013-05-01,40.54,41.51,40.495,40.99,323741
2013-05-02,41.0,41.32,40.49,41.0,217838
2013-05-03,42.5,42.5,40.91,41.23,338527
2013-05-06,41.26,42.14,41.2,42.03,189362
2013-05-07,42.03,42.87,41.83,42.81,205846
2013-05-08,42.81,44.07,42.42,43.69,207738
2013-05-09,43.65,45.22,43.25,45.1,353332
2013-05-10,45.0,46.65,44.91,46.55,519651
2013-05-13,46.23,46.66,44.88,46.06,364021
2013-05-14,46.0,47.32,45.8,46.6,460469
2013-05-15,46.5,48.11,46.4594,46.52,346368
2013-05-16,46.63,47.9,46.5,47.33,297244
2013-05-17,47.72,47.72,47.08,47.45,164982
2013-05-20,47.31,48.65,47.228,48.36,309128
2013-05-21,48.3,48.3,47.6101,47.88,117958
2013-05-22,48.02,48.16,46.27,46.37,200134
2013-05-23,46.2,46.62,45.97,46.39,138895
2013-05-24,45.97,46.41,45.4825,46.23,176267
2013-05-28,46.58,47.95,46.0,46.64,346348
2013-05-29,46.48,46.99,46.33,46.52,86960
2013-05-30,46.61,47.14,46.05,46.83,88725
2013-05-31,46.4,46.64,45.89,45.95,91444
2013-06-03,46.16,46.33,45.13,45.99,248971
2013-06-04,46.01,46.8,45.6301,46.38,211063
2013-06-05,46.24,46.57,45.31,46.1,265733
2013-06-06,45.99,47.46,45.94,47.23,349519
2013-06-07,47.53,48.26,46.97,47.76,364746
2013-06-10,47.8,48.25,47.46,47.91,131614
2013-06-11,47.22,48.23,46.6,48.07,91743
2013-06-12,48.27,48.88,47.37,47.65,271432
2013-06-13,47.53,48.44,46.838,48.18,126167
2013-06-14,47.82,47.94,46.55,47.16,136821
2013-06-17,47.47,48.17,46.61,47.4,145813
2013-06-18,47.54,47.785,47.05,47.56,160623
2013-06-19,47.71,47.85,46.99,47.58,201669
2013-06-20,46.86,47.82,46.48,46.95,195520
2013-06-21,47.08,47.09,45.81,46.57,270182
2013-06-24,45.97,47.4,45.452,45.83,197360
2013-06-25,46.15,46.5,45.39,46.25,183940
2013-06-26,46.52,47.8,45.753,46.98,223294
2013-06-27,47.44,48.6,47.05,48.29,191627
2013-06-28,48.06,50.0,48.0,49.37,666309
2013-07-01,49.38,50.22,49.38,50.1,211011
2013-07-02,50.19,51.0299,48.67,49.41,235950
2013-07-03,49.3,49.69,48.17,48.37,95007
2013-07-05,55.0,55.0,47.74,48.5,202119
2013-07-08,48.78,50.66,48.37,50.5,459793
2013-07-09,50.57,52.0,49.95,51.49,190539
2013-07-10,51.3,51.4,49.92,50.01,181800
2013-07-11,50.74,51.34,49.89,50.01,165885
2013-07-12,49.84,51.8,49.84,51.28,220396
2013-07-15,51.39,51.81,50.75,51.11,137330
2013-07-16,51.1,51.48,50.61,50.82,99671
2013-07-17,50.96,51.78,50.6,51.5,313268
2013-07-18,51.49,52.7,51.49,51.99,124428
2013-07-19,52.0,52.48,51.29,52.1,122309
2013-07-22,52.2,52.7,51.02,51.24,219871
2013-07-23,51.53,51.93,50.36,51.61,339577
2013-07-24,51.55,51.79,51.01,51.6,309083
2013-07-25,51.4,52.9,51.02,52.44,355504
2013-07-26,52.2,53.16,52.14,52.95,174296
2013-07-29,52.68,52.68,51.71,51.99,176370
2013-07-30,52.0,52.39,51.4,51.49,86649
2013-07-31,51.76,51.76,50.46,50.98,356656
2013-08-01,51.15,52.34,50.971,52.25,512077
2013-08-02,51.71,55.25,50.7,55.01,1160285
2013-08-05,55.12,56.63,54.627,55.72,535573
2013-08-06,55.6,57.54,55.17,56.78,615334
2013-08-07,56.78,56.78,54.97,55.1,387009
2013-08-08,55.51,55.62,54.85,55.25,395339
2013-08-09,55.01,55.95,54.87,55.37,254433
2013-08-12,55.0,55.9,54.95,55.55,251062
2013-08-13,55.55,55.55,54.89,54.97,260949
2013-08-14,55.12,56.22,55.0,55.96,525398
2013-08-15,55.41,55.61,53.311,53.33,213183
2013-08-16,52.85,54.85,52.51,54.24,297784
2013-08-19,53.92,54.46,53.06,53.1,291416
2013-08-20,53.07,53.94,52.82,53.45,183915
2013-08-21,53.35,53.65,52.931,53.24,93212
2013-08-22,53.24,54.45,53.24,54.26,133189
2013-08-23,54.25,54.829,53.74,53.79,190076
2013-08-26,53.69,53.76,53.185,53.32,243515
2013-08-27,52.87,53.76,52.29,52.33,262289
2013-08-28,52.31,52.8,52.14,52.75,89978
2013-08-29,52.65,54.14,52.65,53.65,116549
2013-08-30,53.54,54.409,52.71,53.24,186973
2013-09-03,53.53,54.4,53.315,53.84,127542
2013-09-04,53.83,54.31,53.45,53.86,116300
2013-09-05,53.95,54.41,53.55,54.21,164543
2013-09-06,53.65,55.15,52.91,54.58,99167
2013-09-09,54.61,55.86,54.47,55.25,159582
2013-09-10,55.54,56.21,55.24,56.14,265783
2013-09-11,55.97,56.0028,55.28,55.54,241886
2013-09-12,55.44,55.44,54.68,54.9,192621
2013-09-13,55.0,55.02,54.03,54.64,90233
2013-09-16,55.13,55.18,53.91,53.92,143866
2013-09-17,54.03,54.73,53.92,54.58,267106
2013-09-18,54.42,54.46,53.35,54.14,243299
2013-09-19,54.4,54.75,54.01,54.13,152255
2013-09-20,54.16,54.4299,53.39,53.5,172611
2013-09-23,53.47,54.57,53.14,54.36,183892
2013-09-24,54.46,54.49,53.81,53.96,226189
2013-09-25,54.0,54.82,53.66,53.87,170492
2013-09-26,54.04,54.46,53.4611,53.74,101337
2013-09-27,53.4,55.63,53.4,55.59,130729
2013-09-30,55.04,56.78,55.04,56.598,208425
2013-10-01,56.0,58.188,55.83,57.07,260200
2013-10-02,56.81,56.886,56.15,56.25,80312
2013-10-03,56.04,56.39,55.17,55.78,79071
2013-10-04,55.63,56.34,54.98,56.0,193393
2013-10-07,55.63,56.05,54.8163,55.22,113584
2013-10-08,55.32,55.7696,52.46,52.65,187257
2013-10-09,52.75,53.0,51.48,51.92,265740
2013-10-10,52.55,52.97,52.17,52.86,195378
2013-10-11,52.48,53.63,52.48,53.54,176384
2013-10-14,53.11,54.86,52.69,54.61,156077
2013-10-15,54.21,55.32,54.21,55.16,164889
2013-10-16,55.35,56.11,55.1,55.89,150937
2013-10-17,55.77,56.02,55.07,55.26,164682
2013-10-18,55.72,56.34,55.21,55.29,290812
2013-10-21,55.39,55.39,54.83,54.93,227524
2013-10-22,55.03,56.06,54.96,55.95,395726
2013-10-23,55.64,55.75,53.52,54.5,336287
2013-10-24,54.48,54.74,54.31,54.56,114080
2013-10-25,54.78,54.78,53.61,53.96,162534
2013-10-28,53.96,54.14,52.99,53.59,229986
2013-10-29,53.69,56.39,53.545,54.76,857570
2013-10-30,51.42,54.58,48.94,53.33,685850
2013-10-31,53.19,54.249,52.77,54.05,162664
2013-11-01,53.88,55.5,53.88,54.49,293389
2013-11-04,54.54,55.89,54.09,55.71,166150
2013-11-05,55.59,56.59,55.43,56.43,226557
2013-11-06,56.94,56.99,54.98,55.02,99270
2013-11-07,55.1,55.3,53.631,54.08,185119
2013-11-08,54.04,55.4,54.04,54.86,101571
2013-11-11,54.67,54.99,53.77,54.59,64193
2013-11-12,54.57,55.01,54.15,54.96,83675
2013-11-13,54.55,55.61,54.37,55.45,44016
2013-11-14,55.34,55.56,54.86,55.41,56336
2013-11-15,55.33,56.09,54.92,55.6,108634
2013-11-18,55.57,56.03,54.58,55.08,170071
2013-11-19,54.94,55.3008,53.91,54.04,177307
2013-11-20,54.1,55.56,53.901,55.25,172393
2013-11-21,55.3,56.52,54.871,56.44,184132
