Date,Open,High,Low,Close,Volume
2013-01-02,51.92,52.64,51.41,52.49,160815
2013-01-03,52.43,52.78,52.04,52.23,93929
2013-01-04,52.49,52.49,51.15,51.7289,142889
2013-01-07,51.71,52.37,51.0,52.34,93916
2013-01-08,52.13,52.33,51.34,52.05,123082
2013-01-09,52.09,52.39,51.56,51.87,106937
2013-01-10,52.25,52.95,51.83,52.91,99269
2013-01-11,52.99,52.99,51.91,52.16,140773
2013-01-14,52.12,52.9385,51.41,52.83,79571
2013-01-15,52.47,53.56,52.34,53.48,129734
2013-01-16,53.22,53.45,52.31,53.18,176592
2013-01-17,53.53,54.52,53.15,54.38,129678
2013-01-18,54.24,54.59,53.63,54.48,187462
2013-01-22,54.31,55.14,54.31,55.05,85801
2013-01-23,54.5,54.54,52.57,52.97,180311
2013-01-24,52.85,52.9,51.18,51.32,389085
2013-01-25,54.87,58.67,52.88,56.78,426642
2013-01-28,56.9,57.1099,56.07,56.24,102725
2013-01-29,56.17,56.55,55.51,55.85,117445
2013-01-30,55.85,56.31,55.19,55.52,135230
2013-01-31,55.23,55.96,55.2,55.41,276194
2013-02-01,55.86,57.0,55.66,56.81,111254
2013-02-04,56.18,56.82,56.18,56.45,141139
2013-02-05,56.96,57.66,56.85,57.19,72086
2013-02-06,56.63,57.77,56.55,57.72,91503
2013-02-07,57.59,58.28,57.42,58.26,181589
2013-02-08,58.55,58.8899,58.01,58.38,118539
2013-02-11,58.18,58.61,57.94,58.61,77839
2013-02-12,58.55,58.61,57.88,58.47,83777
2013-02-13,58.45,59.0,58.13,58.98,69215
2013-02-14,58.66,59.19,58.66,59.13,59298
2013-02-15,59.35,59.99,59.15,59.99,139629
2013-02-19,59.92,60.0,58.3,58.87,143807
2013-02-20,58.81,59.34,58.0901,58.26,107920
2013-02-21,58.37,58.52,57.43,57.87,39586
2013-02-22,58.16,58.38,57.58,58.29,64649
2013-02-25,58.44,58.54,57.045,57.14,50868
2013-02-26,57.26,57.84,56.31,57.31,48980
2013-02-27,57.1,58.23,57.1,57.56,60530
2013-02-28,57.64,58.47,57.2701,57.76,54062
2013-03-01,57.09,58.11,56.8117,57.72,64188
2013-03-04,57.4,57.57,55.97,57.11,54064
2013-03-05,57.56,58.72,57.56,57.8,55447
2013-03-06,57.81,59.12,57.81,57.99,71355
2013-03-07,57.83,58.59,57.47,58.13,55706
2013-03-08,58.73,58.82,57.82,58.5,55113
