Date,Open,High,Low,Close,Volume
2013-01-02,22.85,22.85,22.238,22.375,63416
2013-01-03,22.33,22.5,22.0,22.16,34298
2013-01-04,22.22,22.42,22.0,22.02,28590
2013-01-07,21.82,22.05,21.82,21.88,16866
2013-01-08,21.67,21.87,21.565,21.77,42786
2013-01-09,21.77,21.84,21.66,21.75,42972
2013-01-10,21.81,21.81,21.54,21.73,22268
2013-01-11,21.8,21.82,21.66,21.7,24284
2013-01-14,21.7,21.71,21.46,21.57,19068
2013-01-15,21.46,21.62,21.4,21.56,13864
2013-01-16,21.498,21.498,21.295,21.375,33818
2013-01-17,21.38,21.86,21.28,21.71,46402
2013-01-18,21.64,22.1,21.64,21.9,24932
2013-01-22,21.8,22.25,21.8,22.24,20222
2013-01-23,22.2,22.34,21.99,22.2,36594
2013-01-24,22.2,22.41,22.02,22.16,28002
2013-01-25,22.26,22.34,21.95,22.3,21258
2013-01-28,22.28,22.82,22.28,22.65,22386
2013-01-29,22.63,23.27,22.48,22.98,33074
2013-01-30,22.94,23.1,22.65,23.0,107502
2013-01-31,22.91,23.2,22.67,22.9,59816
2013-02-01,23.0,23.35,23.0,23.08,31476
2013-02-04,22.92,22.92,22.34,22.5,36324
2013-02-05,22.59,22.98,22.58,22.9,25804
2013-02-06,23.02,23.2,22.88,22.98,24100
2013-02-07,23.03,23.22,22.95,23.18,25438
2013-02-08,23.165,23.542,23.165,23.495,35490
2013-02-11,23.44,23.65,23.28,23.38,35194
2013-02-12,23.572,23.572,23.205,23.205,21466
2013-02-13,23.26,23.5,22.9,23.11,33860
2013-02-14,23.08,23.5,23.08,23.44,36466
2013-02-15,23.51,24.0,23.34,23.79,31664
2013-02-19,23.76,23.89,23.64,23.89,16346
2013-02-20,23.88,23.9,23.33,23.4,32812
2013-02-21,23.41,23.99,23.18,23.86,38120
2013-02-22,24.0,24.03,23.75,23.9,24590
2013-02-25,24.47,24.6,23.2,23.22,51756
2013-02-26,23.35,24.36,23.35,24.03,139660
2013-02-27,23.88,24.49,23.88,24.15,36402
2013-02-28,24.16,24.43,23.6,24.02,20080
2013-03-01,23.78,24.4,23.72,24.24,31648
2013-03-04,24.08,24.48,23.98,24.27,30724
2013-03-05,24.17,24.46,24.14,24.24,23908
2013-03-06,24.22,24.3,24.06,24.14,10170
2013-03-07,24.05,24.44,24.05,24.34,22296
2013-03-08,24.46,24.64,24.12,24.4,42704
2013-03-11,24.3,24.6,24.04,24.31,26814
2013-03-12,24.22,24.38,24.0,24.12,11904
2013-03-13,24.16,24.48,24.1,24.24,10746
2013-03-14,24.26,24.4,24.06,24.32,22848
2013-03-15,24.35,24.74,24.22,24.5,111308
2013-03-18,24.31,24.54,24.16,24.16,19692
2013-03-19,24.19,24.3,24.08,24.15,17234
2013-03-20,24.25,24.6,24.16,24.46,26342
2013-03-21,24.25,24.62,24.18,24.49,23060
2013-03-22,24.49,24.86,24.49,24.7,29870
2013-03-25,24.52,24.81,24.46,24.78,20290
2013-03-26,24.8,24.95,24.63,24.88,26064
2013-03-27,24.78,24.96,24.64,24.76,29006
2013-03-28,24.85,25.0,24.54,24.74,27002
2013-04-01,24.76,24.99,24.28,24.66,27188
2013-04-02,24.8,25.0,24.59,24.59,19402
2013-04-03,24.7,24.86,24.13,24.13,18880
2013-04-04,24.33,24.56,24.2,24.42,23354
2013-04-05,24.19,24.7,24.19,24.57,32810
2013-04-08,24.68,25.0,24.6,24.92,18982
2013-04-09,24.9,24.91,24.43,24.46,24178
2013-04-10,24.48,25.1,24.48,24.82,33936
2013-04-11,24.7,24.8,24.4,24.54,21242
2013-04-12,24.475,24.89,24.322,24.535,17278
2013-04-15,24.44,24.44,23.16,23.26,27180
2013-04-16,23.5,23.64,23.34,23.58,47278
2013-04-17,23.552,23.985,23.345,23.57,34266
2013-04-18,23.68,23.99,23.35,23.46,51538
2013-04-19,23.42,24.07,23.42,23.9,24772
2013-04-22,23.9,24.08,23.65,23.95,26084
2013-04-23,24.02,24.53,24.02,24.51,19236
2013-04-24,24.42,24.8928,24.42,24.5,30794
2013-04-25,24.63,24.72,24.13,24.22,19138
2013-04-26,24.22,24.22,23.39,23.46,57942
2013-04-29,23.62,24.08,23.62,23.7,21590
2013-04-30,23.782,24.005,23.605,23.735,36068
2013-05-01,23.62,23.72,22.8,22.82,52502
2013-05-02,22.9,23.18,22.58,23.1,60238
2013-05-03,23.3,24.2,23.3,24.05,40284
2013-05-06,24.08,24.26,23.44,24.1,18726
2013-05-07,23.88,24.78,23.88,24.55,24308
2013-05-08,24.57,25.0,24.17,24.98,25256
2013-05-09,24.755,24.972,24.63,24.705,14132
2013-05-10,24.8,24.8,24.63,24.69,13008
2013-05-13,24.66,24.82,24.42,24.54,8622
2013-05-14,24.562,24.622,24.445,24.545,29814
2013-05-15,24.42,24.64,24.41,24.52,20496
2013-05-16,24.48,24.64,24.46,24.5,15290
2013-05-17,24.535,24.7,24.355,24.5,37318
2013-05-20,24.6,24.72,24.42,24.62,37788
2013-05-21,24.62,24.76,24.45,24.6,33468
