Date,Open,High,Low,Close,Volume
2013-01-02,41.02,41.98,41.02,41.62,13311
2013-01-03,41.15,41.25,40.51,40.51,4607
2013-01-04,40.52,40.88,40.38,40.54,3463
2013-01-07,40.18,40.1965,39.55,39.97,1714
2013-01-08,39.94,39.97,39.5301,39.94,2709
2013-01-09,40.04,40.04,39.04,39.04,2000
2013-01-10,39.74,39.74,38.75,38.95,3554
2013-01-11,38.7101,39.4,38.71,39.36,2755
2013-01-14,39.0,39.01,38.426,38.65,4451
2013-01-15,37.86,37.86,37.1224,37.736,5638
2013-01-16,38.05,38.5899,38.05,38.33,2766
2013-01-17,38.71,39.028,38.7099,38.91,2160
2013-01-18,38.77,39.1299,38.77,38.84,2151
2013-01-22,38.46,38.49,37.9614,38.16,4528
2013-01-23,37.81,38.2,37.59,38.1999,4709
2013-01-24,38.23,38.6674,38.17,38.17,4163
2013-01-25,38.53,38.53,38.28,38.371,2136
2013-01-28,38.0,38.0899,37.75,37.8,5245
2013-01-29,38.05,38.77,37.83,38.77,7254
2013-01-30,38.89,38.89,38.2,38.36,7215
2013-01-31,38.42,38.42,38.11,38.3006,1667
2013-02-01,38.59,38.99,38.59,38.99,5157
2013-02-04,37.9,37.9,37.014,37.538,6537
2013-02-05,37.04,37.5,37.04,37.302,3737
2013-02-06,37.68,37.7499,37.41,37.5,3350
2013-02-07,37.34,37.5,37.067,37.0801,1965
2013-02-08,37.3,37.7799,37.2648,37.48,3830
2013-02-11,38.5,38.98,38.5,38.98,6671
2013-02-12,38.95,38.95,38.31,38.59,4359
2013-02-13,39.0,39.0,38.83,38.83,775
2013-02-14,38.7,38.8999,38.3701,38.5901,2139
2013-02-15,38.998,38.998,38.24,38.24,800
2013-02-19,37.74,38.35,37.74,38.25,2435
2013-02-20,39.0,39.5,38.88,38.9,4769
2013-02-21,38.57,38.666,38.1999,38.1999,2919
2013-02-22,38.4,38.4,38.0001,38.0001,450
2013-02-25,38.4,38.4,37.99,37.99,3570
2013-02-26,38.35,38.4999,38.19,38.24,1275
2013-02-27,38.53,39.0,38.53,38.76,4801
2013-02-28,39.0,39.04,38.93,39.02,4085
2013-03-01,38.611,38.9999,38.611,38.72,1794
2013-03-04,38.69,38.764,38.44,38.764,442
2013-03-05,38.7,38.7,38.401,38.57,3803
2013-03-06,38.47,38.526,38.43,38.526,800
2013-03-07,37.96,38.1699,37.705,37.97,6203
2013-03-08,37.9001,38.19,37.9,38.19,3327
2013-03-11,38.48,38.8399,38.23,38.75,13109
2013-03-12,38.52,38.52,37.8,38.1,12622
2013-03-13,39.0,39.25,38.5,38.99,24153
2013-03-14,39.01,39.8399,39.01,39.8399,3345
2013-03-15,39.7,39.923,39.68,39.75,3060
2013-03-18,39.68,40.69,39.62,40.35,13466
