Date,Open,High,Low,Close,Volume
2013-01-02,165.87,169.02,165.5,167.5,64767
2013-01-03,168.41,170.58,168.0,170.22,10314
2013-01-04,170.21,172.96,170.21,171.38,8717
2013-01-07,169.89,170.15,168.78,169.68,3231
2013-01-08,170.71,171.3,168.09,170.61,4905
2013-01-09,170.26,172.0,169.32,169.39,15299
2013-01-10,170.0,171.0,169.03,171.0,5990
2013-01-11,171.13,171.13,168.56,168.84,7233
2013-01-14,169.0,169.98,168.75,169.0,4934
2013-01-15,168.7,169.43,168.0,169.34,13662
2013-01-16,168.87,170.66,168.7,170.11,7326
2013-01-17,170.8,173.94,170.67,172.02,12965
2013-01-18,170.18,171.76,170.18,170.66,7357
2013-01-22,171.49,172.337,171.1,172.25,6965
2013-01-23,172.44,172.99,171.64,172.65,9054
2013-01-24,172.91,173.0,168.32,168.32,26946
2013-01-25,169.53,173.49,168.81,171.72,13160
2013-01-28,170.21,174.0,170.21,172.56,12531
2013-01-29,171.79,173.99,171.32,172.53,8166
2013-01-30,169.81,173.5,169.81,172.99,11286
2013-01-31,172.52,174.89,171.5,174.36,18792
2013-02-01,174.57,177.25,174.55,177.0,21145
2013-02-04,175.17,176.35,174.1,174.7,19835
2013-02-05,173.99,176.0,173.77,175.83,10658
2013-02-06,175.3,179.5,174.93,178.25,38464
2013-02-07,176.86,178.74,176.17,178.25,12536
2013-02-08,177.9,179.37,176.79,178.39,19243
2013-02-11,179.21,184.3,177.07,178.6,12059
2013-02-12,178.6,180.44,177.65,180.43,5617
2013-02-13,181.32,181.32,178.35,178.66,6508
2013-02-14,180.0,180.64,178.8,179.31,5162
2013-02-15,179.18,180.38,178.175,178.92,3447
2013-02-19,180.69,180.69,178.8,179.51,24963
2013-02-20,179.1,181.14,178.15,178.24,10342
2013-02-21,178.56,179.3,177.1,177.66,8628
2013-02-22,176.55,180.8,176.55,180.02,8668
2013-02-25,181.2,181.34,175.92,176.24,10137
2013-02-26,177.52,179.45,177.01,178.01,5044
2013-02-27,177.61,181.76,177.61,179.68,3304
2013-02-28,179.51,181.0,179.01,179.55,7977
2013-03-01,178.2,180.86,175.92,177.29,19012
2013-03-04,177.01,177.29,174.13,175.45,6575
2013-03-05,178.69,178.69,176.02,178.48,7948
2013-03-06,177.75,179.34,177.7,179.04,3819
2013-03-07,178.65,181.0,178.26,179.35,10083
2013-03-08,179.5,183.0,179.5,182.83,21678
2013-03-11,182.0,182.86,181.05,182.46,8459
2013-03-12,182.0,182.05,178.5,179.59,26631
2013-03-13,179.89,180.89,179.15,180.74,23597
2013-03-14,181.24,181.36,179.31,179.95,26766
2013-03-15,180.0,183.45,179.9,183.01,17690
2013-03-18,181.81,182.08,180.5,181.2,3669
2013-03-19,180.6,181.15,180.0,180.8,3518
2013-03-20,182.44,183.34,181.53,182.17,5269
2013-03-21,182.03,182.5,180.1,181.56,8710
2013-03-22,181.52,182.23,181.0,181.6,4083
2013-03-25,182.81,183.59,181.21,182.84,3722
2013-03-26,183.5,183.5,180.56,181.9,5864
2013-03-27,181.49,182.66,180.2501,180.72,3473
2013-03-28,180.61,182.91,180.25,182.7,16537
2013-04-01,181.3101,183.08,180.48,180.9,14381
2013-04-02,181.9,183.38,180.1,181.24,6109
2013-04-03,181.035,181.035,179.28,180.1,23886
2013-04-04,180.74,182.2,180.51,182.06,5968
2013-04-05,179.7,182.3,179.7,181.88,6429
2013-04-08,181.8,182.35,180.0,180.0,7521
2013-04-09,180.61,182.14,180.0,182.14,8568
2013-04-10,181.99,186.2,181.86,186.05,23707
2013-04-11,186.6,188.88,186.31,188.1,14818
2013-04-12,188.0,190.43,186.95,189.44,16752
2013-04-15,188.11,188.55,183.85,183.88,6484
2013-04-16,183.64,184.75,182.82,184.31,5393
2013-04-17,182.61,184.3,180.56,180.75,16814
2013-04-18,180.425,182.9,180.1101,181.27,12233
2013-04-19,181.165,182.39,180.885,181.4,2977
2013-04-22,182.1499,182.1499,179.705,181.0,11672
2013-04-23,181.23,185.8,181.23,184.59,8811
2013-04-24,185.53,185.53,183.01,183.03,3323
2013-04-25,182.85,185.22,182.608,183.24,6449
2013-04-26,182.4,183.23,181.15,181.94,9276
2013-04-29,182.97,184.0,181.9,183.08,3363
2013-04-30,182.94,186.46,182.94,186.42,9505
2013-05-01,185.75,187.59,183.6501,185.7,19337
2013-05-02,186.18,188.78,186.01,187.23,8611
2013-05-03,188.0,191.82,188.0,189.01,8117
2013-05-06,187.02,192.6,187.02,188.29,5855
2013-05-07,188.0,189.61,187.4,189.0,4013
2013-05-08,188.0,191.99,186.53,191.37,7051
2013-05-09,190.43,194.0,190.15,193.55,7412
2013-05-10,193.3,194.81,192.751,193.95,3404
2013-05-13,193.0,195.0,191.28,193.87,6542
2013-05-14,193.47,196.33,192.88,196.33,14416
2013-05-15,195.15,198.96,194.9,198.28,11967
2013-05-16,197.12,198.84,197.1,198.42,8298
2013-05-17,199.98,199.98,198.2601,198.85,3379
2013-05-20,197.97,200.49,197.97,199.81,6784
2013-05-21,200.0,200.0,197.7601,199.98,3757
2013-05-22,199.07,205.11,197.6,198.3,11762
2013-05-23,197.72,197.72,195.07,196.55,15210
2013-05-24,196.52,197.2,194.44,196.0,14046
2013-05-28,197.51,200.9,197.51,200.9,3935
2013-05-29,197.4,199.24,196.221,197.12,9768
2013-05-30,196.86,198.9,196.86,198.12,7195
2013-05-31,197.44,199.97,196.69,197.27,12680
2013-06-03,197.56,198.26,196.03,198.26,5242
2013-06-04,198.09,199.0,197.28,197.43,7758
2013-06-05,197.7,198.1499,193.6,195.99,3316
2013-06-06,195.15,197.86,194.59,197.86,6555
2013-06-07,197.94,198.14,196.6,197.46,5551
2013-06-10,196.98,199.85,196.32,199.8,7374
2013-06-11,198.98,200.29,196.82,197.72,10290
2013-06-12,199.47,199.47,197.62,198.66,12968
2013-06-13,198.0,202.5,197.2925,201.42,21335
2013-06-14,200.65,203.65,200.5,200.6,9039
2013-06-17,200.41,204.83,200.41,204.55,16926
2013-06-18,205.0,206.11,204.0,205.34,22137
2013-06-19,205.49,206.75,202.15,203.02,19008
2013-06-20,200.0,201.96,198.88,198.91,20587
2013-06-21,200.0,200.0,197.75,199.07,26647
2013-06-24,197.9,198.97,196.0,196.6,43961
2013-06-25,196.84,198.0,193.63,194.26,50501
2013-06-26,196.48,196.48,191.01,192.8,58078
2013-06-27,193.94,195.065,193.31,194.99,66652
2013-06-28,194.79,194.91,192.05,192.05,207698
2013-07-01,193.1,196.65,192.89,194.94,126476
2013-07-02,194.95,202.0,194.95,199.86,42079
2013-07-03,199.42,199.95,198.35,198.87,13948
2013-07-05,200.67,202.0,198.2,202.0,37733
2013-07-08,201.63,203.0,199.17,199.87,35016
2013-07-09,201.795,201.985,197.02,197.82,36805
2013-07-10,198.17,200.18,196.24,197.2,23306
2013-07-11,200.32,200.56,196.38,198.0,34609
2013-07-12,199.13,201.19,195.77,200.32,21332
2013-07-15,200.26,202.8,200.26,201.51,16458
2013-07-16,203.0,203.0,200.97,202.15,19820
2013-07-17,201.95,203.75,201.58,203.5,16969
2013-07-18,204.65,207.51,204.52,207.51,12607
2013-07-19,207.5,208.52,207.13,207.4,10099
2013-07-22,206.78,209.69,206.13,208.95,8877
2013-07-23,210.45,212.15,209.46,210.8,14156
2013-07-24,212.43,212.43,209.56,211.1,8838
2013-07-25,212.89,212.89,209.75,210.49,7503
2013-07-26,209.7,210.37,209.35,210.1,4926
2013-07-29,210.91,210.91,206.9,207.24,5649
2013-07-30,208.0,208.3,207.29,208.19,4502
2013-07-31,207.8,211.84,207.8,209.5,11938
2013-08-01,210.49,213.34,210.49,212.9,6065
2013-08-02,211.02,212.71,210.96,212.5,6732
2013-08-05,205.1001,213.64,205.1001,212.8,4054
2013-08-06,212.65,214.02,210.38,210.64,11444
2013-08-07,212.2,213.45,210.83,211.24,11781
2013-08-08,210.89,212.47,210.71,211.8,3965
2013-08-09,212.24,213.234,211.5,212.35,3805
2013-08-12,209.696,211.08,207.54,209.81,8161
2013-08-13,209.48,211.12,209.48,210.16,7344
2013-08-14,210.03,210.47,207.975,210.03,6562
2013-08-15,209.5,209.99,207.05,207.76,7667
2013-08-16,208.87,209.88,205.5,208.73,13515
2013-08-19,209.52,209.52,206.512,207.81,8819
2013-08-20,207.39,210.55,207.29,210.2,8147
2013-08-21,208.065,209.08,205.21,206.9,8854
2013-08-22,208.93,210.49,206.75,209.7,3666
2013-08-23,208.02,209.73,207.36,208.94,4165
2013-08-26,209.13,209.87,206.7,207.25,8717
2013-08-27,204.33,204.33,201.95,202.5,9747
2013-08-28,202.99,204.99,201.81,204.3,9062
2013-08-29,204.0,207.0,204.0,205.43,6681
2013-08-30,205.81,205.81,201.76,202.24,20200
2013-09-03,203.24,206.87,202.0,202.65,16955
2013-09-04,202.51,204.94,202.51,204.2,7806
2013-09-05,203.32,207.0,203.32,205.79,16569
2013-09-06,205.5,205.95,202.0,204.13,21905
2013-09-09,204.96,205.9,203.6,205.12,14906
2013-09-10,206.91,207.7,203.5,204.0,26301
2013-09-11,203.22,204.0,203.0001,203.38,4881
2013-09-12,204.475,204.48,202.34,203.13,9696
2013-09-13,203.59,204.2,201.81,202.1,7207
2013-09-16,203.49,205.09,203.49,204.16,6855
2013-09-17,203.8,205.67,203.0,203.9,15011
2013-09-18,203.49,204.66,203.31,203.65,16786
2013-09-19,203.47,203.47,199.94,199.95,10415
2013-09-20,199.7,204.95,199.7,204.18,47596
2013-09-23,203.4,204.8,202.575,203.01,8549
2013-09-24,202.5,208.57,202.5,207.0,15113
2013-09-25,207.58,207.58,203.52,205.65,20575
2013-09-26,205.0,206.29,204.5,205.86,9793
2013-09-27,202.54,206.57,202.54,205.14,3132
2013-09-30,204.64,205.85,203.28,205.6,11941
2013-10-01,205.96,207.65,204.7,206.45,24036
2013-10-02,207.568,208.4,205.18,206.0,22926
2013-10-03,205.345,206.02,203.5,204.0,25910
2013-10-04,203.23,207.56,203.23,206.5,10611
2013-10-07,206.0,206.0,203.77,203.8,3852
2013-10-08,203.01,203.44,201.92,201.92,7958
2013-10-09,202.1,204.75,202.1,202.68,8609
2013-10-10,204.38,207.5,203.81,206.6,5650
2013-10-11,205.49,209.5,204.65,209.16,5191
2013-10-14,208.2,209.67,207.01,209.35,3663
2013-10-15,207.94,209.266,207.43,207.43,3544
2013-10-16,208.208,211.49,208.208,210.2,7586
2013-10-17,209.38,209.45,204.98,208.54,15474
2013-10-18,207.69,210.89,207.69,210.19,3935
2013-10-21,210.19,212.8,208.12,211.93,11273
2013-10-22,210.01,211.32,208.27,208.87,11208
2013-10-23,208.06,210.18,207.06,209.32,9664
2013-10-24,209.52,209.73,206.29,209.46,7122
2013-10-25,210.8,212.98,210.1,211.7,7998
2013-10-28,212.77,213.8,211.5,212.75,5284
2013-10-29,212.22,212.76,209.71,211.73,6769
2013-10-30,211.475,212.75,210.12,211.2,5950
2013-10-31,210.11,212.7,208.48,211.73,13389
2013-11-01,210.24,212.96,210.24,210.82,5398
2013-11-04,210.39,211.4,209.995,210.26,2639
2013-11-05,207.61,211.0,207.61,210.79,3212
2013-11-06,212.0,212.0,209.38,209.38,9233
2013-11-07,208.6,209.07,204.46,208.5,13853
2013-11-08,210.9,220.05,210.8,219.38,15517
2013-11-11,216.41,217.39,214.87,216.55,2264
2013-11-12,217.85,217.909,214.81,215.22,3953
2013-11-13,213.89,219.0,213.89,217.82,12942
2013-11-14,217.0,219.0,215.0701,218.25,20950
2013-11-15,216.51,220.67,216.5,219.9,17998
2013-11-18,217.7,220.0,217.7,219.85,7842
2013-11-19,216.82,219.85,215.91,217.17,13091
2013-11-20,215.15,220.0,215.15,219.33,6305
2013-11-21,219.98,223.16,219.11,221.15,7642
2013-11-22,221.0,222.2,218.52,221.53,2534
2013-11-25,221.07,227.01,218.64,222.81,8899
2013-11-26,222.81,223.35,221.25,222.65,15756
2013-11-27,224.95,225.2,222.83,224.81,2228
2013-11-29,224.16,225.349,223.8225,224.65,1810
2013-12-02,226.8,227.65,223.93,224.83,6667
2013-12-03,225.9,225.9,221.0,222.6,6849
2013-12-04,224.98,224.98,221.04,223.16,3806
2013-12-05,223.66,223.66,220.52,222.13,4853
2013-12-06,223.06,229.97,223.06,226.38,8118
2013-12-09,226.38,226.75,223.29,224.3,9650
2013-12-10,223.9,224.29,221.4,222.31,7883
2013-12-11,221.25,222.98,218.57,219.2,7276
2013-12-12,220.23,221.44,217.03,218.22,7626
2013-12-13,218.77,220.28,215.596,217.86,7715
2013-12-16,220.31,221.5,218.95,220.54,7996
2013-12-17,222.749,222.749,216.0,218.52,10728
2013-12-18,217.76,225.6,217.76,224.0,10975
2013-12-19,222.14,222.25,220.51,221.19,10320
2013-12-20,221.14,224.97,212.45,224.79,32255
2013-12-23,225.84,225.85,222.0525,223.5,25535
2013-12-24,223.0374,224.45,223.0374,223.5,2087
2013-12-26,222.63,223.65,222.31,222.88,5841
2013-12-27,223.99,224.0,222.6972,223.07,3269
2013-12-30,222.99,222.99,220.64,221.4,10802
2013-12-31,222.36,222.69,221.75,222.63,4953
2014-01-02,222.81,222.81,217.97,221.63,9766
2014-01-03,222.48,222.48,219.0,220.72,11158
2014-01-06,223.2826,223.2826,219.2301,221.1,12593
2014-01-07,222.79,222.99,220.75,222.0,10254
2014-01-08,220.13,221.34,218.0,219.09,16533
2014-01-09,219.228,221.06,219.1,220.37,9152
2014-01-10,221.58,221.58,219.71,221.26,4314
2014-01-13,221.09,222.87,219.38,220.8,8910
2014-01-14,222.24,222.24,219.01,219.07,9260
2014-01-15,218.19,222.0,218.19,221.2,5803
2014-01-16,221.4,222.4,219.292,219.96,5383
2014-01-17,221.26,222.44,219.74,221.44,5047
2014-01-21,223.48,224.13,222.01,223.64,7546
2014-01-22,223.58,224.5,222.7,223.12,8742
2014-01-23,223.75,224.0,222.2,223.7,7968
2014-01-24,221.0001,223.4,219.21,220.04,15159
2014-01-27,221.34,224.605,221.21,221.59,40194
2014-01-28,223.0,225.48,222.0337,222.25,11636
2014-01-29,223.52,223.52,218.3,219.1,25650
2014-01-30,220.98,225.58,219.55,223.0,20995
2014-01-31,221.9,224.19,220.12,221.24,44215
2014-02-03,220.21,220.975,215.12,215.76,14822
2014-02-04,216.1,218.65,214.34,216.59,12812
2014-02-05,217.01,217.045,214.71,215.78,4760
2014-02-06,216.0,219.49,215.69,219.0,7584
2014-02-07,218.97,220.3,217.71,218.9,13645
2014-02-10,218.09,218.7,213.07,217.42,22575
2014-02-11,216.11,221.57,216.11,220.42,10113
2014-02-12,220.23,221.8,219.21,220.79,12904
2014-02-13,220.78,222.0,219.02,221.09,10558
2014-02-14,219.7,223.5,219.7,222.94,9157
2014-02-18,222.15,224.25,221.65,221.93,8372
2014-02-19,222.73,222.73,218.01,218.2,14611
2014-02-20,219.38,221.3,218.18,221.3,8956
2014-02-21,221.0,221.73,219.61,221.25,7772
2014-02-24,222.0,224.4,219.32,221.85,16370
2014-02-25,221.77,222.54,220.55,221.83,5489
2014-02-26,220.26,222.9,219.91,221.85,14161
2014-02-27,220.5,223.99,220.5,222.42,12915
2014-02-28,222.39,225.0,222.38,224.39,18357
2014-03-03,221.181,222.6,221.07,222.28,5350
2014-03-04,224.5,229.65,222.33,226.99,20458
2014-03-05,225.6,227.5,224.06,227.25,4521
2014-03-06,226.21,229.98,226.07,226.97,15030
2014-03-07,228.0,231.51,227.4,229.15,12726
2014-03-10,229.0,230.0,226.15,229.92,18244
2014-03-11,229.81,232.46,229.81,231.0,17715
2014-03-12,212.2,232.98,212.2,232.5,19846
2014-03-13,233.46,233.5,229.68,230.35,7634
2014-03-14,232.23,233.68,230.01,231.52,8600
2014-03-17,234.0,234.46,232.4,233.7,7926
2014-03-18,233.99,234.0,231.3,232.19,7811
2014-03-19,237.37,237.37,231.3576,232.92,3707
2014-03-20,232.9,238.63,232.75,237.8,14644
2014-03-21,238.0,245.79,236.09,237.15,23379
2014-03-24,240.37,240.51,236.9,237.47,8152
2014-03-25,239.84,240.78,236.04,236.96,10751
2014-03-26,237.76,238.89,234.11,235.99,11469
2014-03-27,236.5,237.9,233.78,236.0,18600
2014-03-28,235.14,239.7,235.14,238.96,13165
2014-03-31,237.65,241.51,237.37,240.75,13880
2014-04-01,241.02,245.96,238.21,245.96,21561
2014-04-02,245.5,245.6,241.59,242.51,20851
2014-04-03,243.19,246.69,241.41,245.16,20203
2014-04-04,247.555,247.555,239.726,244.09,25650
2014-04-07,241.6812,244.1,239.363,242.65,17068
2014-04-08,240.88,244.6,240.88,242.52,17122
2014-04-09,245.265,245.265,235.22,235.3,19572
2014-04-10,235.05,235.05,228.401,229.0,23033
2014-04-11,227.44,229.28,226.02,227.4,7331
2014-04-14,230.22,231.0,227.7,229.01,7068
2014-04-15,228.06,230.0,225.05,228.69,14018
2014-04-16,230.15,231.48,228.48,229.25,5011
2014-04-17,229.69,232.042,229.0,230.36,6866
2014-04-21,230.71,233.96,229.63,230.78,6833
2014-04-22,231.062,234.97,231.062,233.25,8075
2014-04-23,232.72,234.4186,230.6,233.68,4507
2014-04-24,232.525,235.0,232.525,232.95,16453
2014-04-25,231.24,231.85,230.19,230.19,4576
2014-04-28,234.0,234.0,228.6,229.73,10178
2014-04-29,228.17,229.25,226.74,227.42,6709
2014-04-30,225.6,226.71,223.41,224.89,21503
2014-05-01,224.0,225.92,220.945,221.83,20219
2014-05-02,222.87,224.9655,220.51,223.92,9368
2014-05-05,223.8,224.35,221.99,222.36,9747
2014-05-06,221.576,221.62,219.03,220.54,12564
2014-05-07,219.48,222.89,219.48,222.89,19518
2014-05-08,222.05,224.38,222.05,223.0,4598
2014-05-09,221.67,227.96,221.67,226.81,9646
2014-05-12,226.41,229.0,226.41,228.65,16837
2014-05-13,229.87,229.87,223.0,225.25,6229
2014-05-14,222.25,222.38,219.6001,220.91,6850
2014-05-15,220.63,221.1,215.061,217.43,21733
2014-05-16,217.79,217.79,214.19,216.77,28888
2014-05-19,215.17,218.0,215.17,217.05,23108
2014-05-20,217.0,217.14,215.32,215.65,17148
2014-05-21,216.42,220.31,215.03,215.19,23118
2014-05-22,218.35,221.9,217.24,220.02,44954
2014-05-23,221.55,222.088,216.95,219.27,13109
2014-05-27,224.49,224.49,220.0,220.61,5108
2014-05-28,222.54,222.54,219.72,220.5,10157
2014-05-29,219.54,222.76,217.98,219.4,10599
2014-05-30,220.5,221.75,218.76,219.78,19243
2014-06-02,219.3,223.98,218.5,223.58,17699
2014-06-03,223.31,226.16,219.12,223.34,14170
2014-06-04,224.21,227.88,224.21,225.72,12316
2014-06-05,225.42,233.0,225.42,229.87,17551
2014-06-06,230.55,232.8,229.376,231.5,30885
2014-06-09,231.11,234.99,231.11,234.99,24594
2014-06-10,233.17,237.05,231.6,236.34,29523
2014-06-11,238.9,254.99,238.9,251.91,155292
2014-06-12,252.78,260.67,249.3501,260.1,68632
2014-06-13,261.09,262.31,257.9,259.22,67780
2014-06-16,258.5,260.28,256.45,258.88,40496
2014-06-17,258.35,260.08,257.55,258.69,82179
2014-06-18,257.56,257.61,253.2,254.85,66162
2014-06-19,254.06,255.465,251.28,253.67,43455
2014-06-20,254.8,256.99,250.56,253.0,84127
2014-06-23,252.5,253.0,249.0,251.78,41036
2014-06-24,253.04,253.5,246.37,247.35,43057
2014-06-25,247.21,250.0,245.0,249.5,50917
2014-06-26,250.0,250.0,246.905,249.2,34501
2014-06-27,248.05,250.25,246.96,247.65,928119
2014-06-30,246.31,246.73,244.48,245.0,48023
2014-07-01,244.57,247.45,242.41,242.5,76217
2014-07-02,241.76,242.0,238.01,239.8,52517
2014-07-03,240.76,242.0,240.01,241.16,48680
2014-07-07,241.62,241.62,239.71,240.01,24541
2014-07-08,241.7399,241.7399,238.2,239.5,58990
2014-07-09,239.55,241.99,239.075,240.49,39100
2014-07-10,236.81,239.25,235.535,236.56,58693
2014-07-11,235.92,239.97,235.92,237.53,37630
2014-07-14,238.94,239.94,235.675,236.02,29230
2014-07-15,236.7,237.49,233.25,235.31,24098
2014-07-16,236.77,238.03,231.18,231.69,24047
2014-07-17,231.69,232.38,226.52,226.8,28033
2014-07-18,226.25,230.39,225.51,229.6,21656
2014-07-21,227.62,227.64,225.63,227.14,15187
2014-07-22,227.4,228.97,226.67,228.16,29049
2014-07-23,228.0,230.02,227.125,227.54,72288
2014-07-24,228.8,228.8,224.17,226.18,21977
2014-07-25,225.0,225.93,224.0,225.11,21268
2014-07-28,227.89,227.89,222.43,224.0,21188
2014-07-29,223.87,224.94,223.0,224.08,21115
2014-07-30,226.58,227.7,225.25,227.39,21748
2014-07-31,226.0,226.35,222.3,222.35,31245
2014-08-01,222.0,224.05,220.022,221.0,22656
2014-08-04,224.73,224.73,219.41,220.2,14516
2014-08-05,218.95,220.98,218.0,219.59,15727
2014-08-06,219.27,223.45,219.27,222.57,9524
2014-08-07,221.97,221.97,217.71,218.1,6822
2014-08-08,218.14,223.726,218.02,222.87,18703
2014-08-11,223.55,227.46,222.52,222.52,15409
2014-08-12,222.18,222.26,219.42,220.66,11914
2014-08-13,220.7,222.0,219.91,220.2,18655
2014-08-14,221.21,221.27,219.52,220.09,14854
2014-08-15,222.3,222.3,217.05,218.72,16902
2014-08-18,220.37,221.98,218.54,219.35,23926
2014-08-19,218.61,219.865,218.5,219.66,10795
2014-08-20,218.63,220.1,218.53,219.31,8089
2014-08-21,219.666,226.0,218.9,225.14,17163
2014-08-22,225.34,227.69,224.83,226.27,21018
2014-08-25,225.0,228.77,225.0,228.5,23190
2014-08-26,229.35,233.3,229.0,231.13,21116
2014-08-27,230.4423,232.04,230.09,231.51,18395
2014-08-28,231.51,231.51,228.22,228.25,5638
2014-08-29,228.1,230.27,228.0,229.79,8218
2014-09-02,231.21,232.95,228.62,232.3,10483
2014-09-03,230.05,231.54,226.78,227.4,16257
2014-09-04,229.0,229.5,225.25,225.25,10524
2014-09-05,224.05,224.05,222.0,223.24,21757
2014-09-08,223.68,224.11,221.9,223.84,11051
2014-09-09,222.15,223.5,220.81,221.41,10484
2014-09-10,222.0,224.9,221.65,224.5,6961
2014-09-11,223.1,226.39,223.1,225.77,9394
2014-09-12,226.47,227.5,224.04,224.07,13366
2014-09-15,223.67,223.67,220.1,220.85,17830
2014-09-16,220.91,222.47,219.75,221.06,10909
2014-09-17,224.21,224.805,222.0,224.46,4700
2014-09-18,230.12,230.12,222.54,223.56,6892
2014-09-19,223.82,226.66,220.23,220.32,29290
2014-09-22,219.5,220.88,217.01,217.55,12626
2014-09-23,217.0,219.87,215.07,215.07,22499
2014-09-24,216.36,219.45,215.75,218.8,19283
2014-09-25,218.69,218.88,215.05,215.31,17009
2014-09-26,214.95,217.86,214.53,217.31,12947
2014-09-29,215.46,219.26,215.46,218.44,17947
2014-09-30,218.85,220.15,216.04,216.63,30869
2014-10-01,216.01,216.96,210.3,210.31,22328
2014-10-02,225.0,225.0,210.43,214.0,10793
2014-10-03,216.84,220.86,216.0,216.92,10131
2014-10-06,216.74,220.0,215.38,215.62,11421
2014-10-07,214.5,216.41,212.26,212.8,11273
2014-10-08,211.7,217.33,211.7,215.71,10355
2014-10-09,213.6,215.0,211.99,212.6,12539
2014-10-10,210.67,213.76,206.14,211.49,12538
2014-10-13,212.67,218.52,211.0,217.01,10116
2014-10-14,219.83,220.0,216.48,219.19,22542
2014-10-15,214.476,219.75,214.0175,218.79,29980
2014-10-16,216.16,220.95,215.32,220.82,27059
2014-10-17,224.11,224.62,222.0,223.915,33229
2014-10-20,224.3598,226.0,223.06,225.92,13079
2014-10-21,222.82,230.76,222.82,228.97,21392
2014-10-22,228.76,230.89,227.67,228.56,16126
2014-10-23,229.7,233.89,229.058,232.79,20638
2014-10-24,233.47,234.92,231.47,234.48,13359
2014-10-27,231.53,236.23,231.49,234.62,13115
2014-10-28,219.96,242.0,219.96,238.0,74578
2014-10-29,236.0,237.0,228.86,233.39,84969
2014-10-30,223.59,242.74,223.59,242.14,17118
2014-10-31,247.43,254.135,242.0,251.21,35756
2014-11-03,250.0,251.96,249.0,250.6,26888
2014-11-04,250.73,252.0,247.535,249.24,11084
2014-11-05,251.5,251.5,250.55,250.55,12417
2014-11-06,250.81,251.04,248.33,250.48,7688
2014-11-07,251.45,251.5,247.07,248.92,15039
2014-11-10,246.56,251.5,246.56,251.24,19489
2014-11-11,251.24,251.5,249.0,250.35,33523
2014-11-12,248.17,250.96,247.74,250.34,10469
2014-11-13,249.74,251.16,244.3,247.65,27430
2014-11-14,248.54,249.925,245.76,247.1,23411
2014-11-17,243.7,248.29,243.7,246.02,7573
2014-11-18,246.7,249.522,245.88,246.71,6911
2014-11-19,248.0,248.0,243.92,245.11,10736
2014-11-20,245.8,245.8,242.3,244.66,13367
2014-11-21,247.62,247.86,244.45,246.46,11957
2014-11-24,248.13,249.27,246.035,248.0,15242
2014-11-25,246.61,251.59,243.88,251.39,18994
2014-11-26,251.49,257.3,248.81,256.81,15140
2014-11-28,255.22,259.45,253.39,253.6,12404
2014-12-01,253.4,254.15,250.0,250.5,29708
