Date,Open,High,Low,Close,Volume
2013-01-02,95.66,95.7,92.0,94.04,801855
2013-01-03,94.61,97.62,94.32,95.04,1070550
2013-01-04,95.34,97.3,95.1,97.12,649696
2013-01-07,97.11,97.54,94.42,95.85,659988
2013-01-08,96.35,99.08,95.9974,98.38,896451
2013-01-09,98.35,99.51,97.99,99.45,641567
2013-01-10,98.38,101.0371,98.02,100.99,869624
2013-01-11,100.43,101.8699,99.44,100.79,529715
2013-01-14,100.55,101.77,99.8027,101.47,408450
2013-01-15,100.66,103.85,99.42,103.62,669395
2013-01-16,103.45,105.57,102.13,104.84,859461
2013-01-17,105.43,106.44,103.42,104.97,735074
2013-01-18,104.7,105.11,103.39,105.0,650678
2013-01-22,106.08,106.49,103.94,105.948,627843
2013-01-23,103.89,104.77,101.6101,103.49,889645
2013-01-24,103.74,106.99,103.73,106.37,674963
2013-01-25,107.0,107.49,105.63,107.46,640163
2013-01-28,107.59,107.85,104.69,106.18,462160
2013-01-29,106.3,107.01,104.75,106.69,354837
2013-01-30,103.75,104.7,103.36,104.11,1098835
2013-01-31,104.16,106.41,104.16,105.58,488742
2013-02-01,106.68,106.95,103.8,103.98,797919
2013-02-04,103.5,105.56,101.74,101.87,1077121
2013-02-05,102.1,104.18,95.44,103.36,2323530
2013-02-06,102.95,105.06,102.01,104.63,536389
2013-02-07,104.77,105.99,102.9,105.78,718963
2013-02-08,105.99,106.44,103.36,103.9,1125132
2013-02-11,103.13,107.64,102.49,107.46,1658078
2013-02-12,111.52,115.19,110.26,110.65,3752461
2013-02-13,107.52,109.15,103.745,105.21,2444942
2013-02-14,104.53,105.1799,103.11,104.4,1234893
2013-02-15,103.96,106.82,103.7001,104.86,1212330
2013-02-19,105.25,106.32,103.35,104.95,533301
2013-02-20,105.16,105.7,102.53,102.76,573048
2013-02-21,102.59,102.75,99.42,100.38,731109
2013-02-22,101.01,101.62,100.07,101.14,502449
2013-02-25,101.9,103.26,98.59,98.65,514795
2013-02-26,99.21,100.69,98.1,100.31,757844
2013-02-27,100.29,103.0,100.05,101.99,553842
2013-02-28,101.83,103.59,101.73,102.77,565411
2013-03-01,102.31,104.74,101.72,103.42,810515
2013-03-04,103.31,104.21,102.52,103.47,509840
2013-03-05,104.39,105.77,103.51,105.4,603497
2013-03-06,105.88,106.62,103.57,104.17,656512
2013-03-07,104.53,105.99,103.49,103.61,842171
2013-03-08,104.25,104.79,102.064,103.42,605969
2013-03-11,103.1,104.28,101.87,104.11,688579
2013-03-12,103.67,104.14,102.81,103.72,350041
2013-03-13,103.99,106.39,103.71,106.15,609949
2013-03-14,106.2,107.73,106.19,107.0,569266
2013-03-15,106.36,107.85,104.94,104.97,962391
2013-03-18,104.0,104.0,101.61,101.91,673362
2013-03-19,101.54,102.012,98.02,98.61,1306204
2013-03-20,99.17,100.09,98.25,99.02,931216
2013-03-21,98.4,98.53,95.67,96.03,887367
2013-03-22,96.24,97.08,95.12,95.49,794634
2013-03-25,96.51,97.26,94.88,95.63,793373
2013-03-26,96.17,96.2399,94.35,95.46,838765
2013-03-27,94.69,95.14,92.55,94.96,619578
2013-03-28,94.46,96.75,93.51,96.6,678190
2013-04-01,96.63,97.23,93.5,93.83,563745
2013-04-02,94.16,96.0,93.43,93.49,543263
2013-04-03,93.65,94.16,90.94,91.42,1388933
2013-04-04,91.54,92.96,90.65,92.81,1092088
2013-04-05,91.08,93.26,89.5,93.05,850509
2013-04-08,93.1,94.28,92.44,94.03,731741
2013-04-09,94.23,96.91,94.15,96.26,1167538
2013-04-10,96.37,98.06,96.3575,97.78,711332
2013-04-11,98.06,99.5,97.45,98.73,792425
2013-04-12,98.5,98.5,96.88,98.07,666050
2013-04-15,97.38,97.619,94.19,94.24,1084927
2013-04-16,94.91,95.45,93.61,95.16,579795
2013-04-17,94.05,94.34,91.08,92.1,680175
2013-04-18,92.5,93.15,91.1,91.87,504502
2013-04-19,91.73,94.73,91.55,94.29,747276
2013-04-22,94.28,94.59,92.78,92.91,553966
2013-04-23,94.02,94.83,92.44,92.8,835956
2013-04-24,93.04,93.9,92.86,93.59,885528
2013-04-25,94.31,95.68,93.54,94.89,982267
2013-04-26,95.13,95.84,94.36,95.49,828044
2013-04-29,95.5,96.016,94.61,95.29,556194
2013-04-30,95.93,98.18,95.83,98.12,1325857
2013-05-01,97.44,97.84,94.45,94.96,739735
