Date,Open,High,Low,Close,Volume
2013-01-02,46.77,47.24,46.49,47.21,2048601
2013-01-03,47.21,47.57,46.99,47.26,1151166
2013-01-04,47.247,47.754,47.247,47.54,1484016
2013-01-07,47.2733,47.8761,47.2517,47.8467,1403553
2013-01-08,47.78,48.15,47.6,48.12,703464
2013-01-09,48.27,48.77,48.08,48.77,924612
2013-01-10,49.12,49.12,48.27,48.88,1693755
2013-01-11,48.97,48.97,48.27,48.49,1296903
2013-01-14,48.49,48.63,48.34,48.61,1779702
2013-01-15,48.48,48.77,48.14,48.69,1072692
2013-01-16,48.66,48.74,48.14,48.14,674637
2013-01-17,48.333,48.333,47.857,48.173,1152096
2013-01-18,48.43,48.43,47.92,48.26,1095945
2013-01-22,48.47,48.55,47.95,48.49,1697769
2013-01-23,48.55,48.627,48.112,48.17,1120866
2013-01-24,48.36,48.66,47.99,48.23,1654542
2013-01-25,48.3833,48.7067,48.1202,48.68,1215660
2013-01-28,48.93,48.93,48.44,48.5,991599
2013-01-29,48.4833,48.76,48.19,48.7333,1094478
2013-01-30,48.78,48.8,48.28,48.35,651300
2013-01-31,48.32,48.72,48.17,48.53,489627
2013-02-01,48.8,49.47,48.8,49.26,1710909
2013-02-04,49.11,49.21,48.47,48.56,699735
2013-02-05,48.67,49.13,48.67,49.09,1070967
2013-02-06,49.16,49.26,48.66,48.88,922350
2013-02-07,48.81,48.91,48.07,48.4,1820268
2013-02-08,48.64,48.95,48.52,48.84,1729773
2013-02-11,49.04,49.23,48.62,48.71,1806627
2013-02-12,48.72,48.77,48.46,48.49,1118850
2013-02-13,48.73,48.83,48.47,48.8,665007
2013-02-14,48.83,48.9,48.22,48.68,1712526
2013-02-15,48.67,48.68,48.39,48.59,866544
2013-02-19,48.55,48.75,48.35,48.71,698619
2013-02-20,48.71,48.99,48.3,48.3,620922
2013-02-21,48.027,48.28,47.717,47.913,1408518
2013-02-22,48.15,48.68,48.14,48.68,1354770
2013-02-25,48.71,49.08,48.08,48.12,1704690
2013-02-26,48.18,48.35,47.75,48.15,1081470
2013-02-27,48.28,49.14,48.15,48.9,1685310
2013-02-28,48.89,49.54,48.89,49.26,1917681
2013-03-01,48.83,49.87,48.82,49.86,1580220
2013-03-04,49.73,50.49,49.58,50.42,1016754
2013-03-05,50.79,51.23,50.67,51.08,1771014
2013-03-06,51.53,51.53,51.17,51.49,1870884
2013-03-07,51.5,51.59,51.32,51.46,1260693
2013-03-08,51.5,51.92,51.35,51.89,1356081
2013-03-11,51.99,52.03,51.82,52.03,821679
2013-03-12,52.03,52.24,51.79,52.23,1000824
2013-03-13,52.17,52.19,51.81,52.04,1435497
2013-03-14,52.17,52.3333,52.0444,52.3233,1382295
2013-03-15,52.42,52.42,51.9,51.96,606039
2013-03-18,51.34,51.87,51.02,51.64,1298361
2013-03-19,51.8033,52.0268,51.24,51.5267,1731822
2013-03-20,51.68,52.19,51.68,52.02,1054065
2013-03-21,51.92,52.0,51.47,51.66,1111314
2013-03-22,51.48,52.04,51.48,52.03,1083942
2013-03-25,52.23,52.25,51.47,51.7,1085274
2013-03-26,51.97,52.11,51.63,51.88,514146
2013-03-27,51.79,52.6,51.46,52.59,1120257
2013-03-28,52.66,53.4,52.63,53.31,1846047
2013-04-01,53.5,53.75,52.92,53.19,1175487
2013-04-02,53.62,54.253,53.377,54.063,2303409
2013-04-03,54.4867,54.4867,52.8434,53.16,1919040
2013-04-04,53.333,53.633,52.909,53.393,1100781
2013-04-05,52.94,53.37,52.39,53.31,1552500
2013-04-08,53.403,53.45,52.854,53.45,790776
2013-04-09,53.7,53.97,53.39,53.65,975393
2013-04-10,53.9033,55.1,53.8688,55.1,1593024
2013-04-11,55.32,56.0,55.23,55.81,2025921
2013-04-12,55.62,56.42,55.62,56.4,2768607
2013-04-15,56.34,56.45,54.8,54.89,2168538
2013-04-16,55.7,55.99,55.01,55.98,2065224
2013-04-17,55.97,55.97,54.73,55.71,1979277
2013-04-18,55.933,55.94,54.47,54.983,1851951
2013-04-19,56.373,57.56,56.028,57.527,4014057
2013-04-22,57.993,58.125,57.53,57.99,2311908
2013-04-23,58.3333,59.0233,57.8334,58.26,3558969
2013-04-24,57.86,57.87,56.5,56.56,4364196
2013-04-25,57.12,57.75,56.87,57.71,4271742
2013-04-26,57.88,58.17,57.33,57.71,1326459
2013-04-29,58.0,58.2,57.67,57.82,2318091
2013-04-30,57.74,57.85,56.82,57.44,1976037
2013-05-01,57.52,58.05,56.94,57.06,2282634
2013-05-02,57.48,58.27,57.36,58.0,1368957
2013-05-03,58.94,59.68,58.79,58.87,2588949
2013-05-06,59.15,59.2,58.34,58.65,1464000
2013-05-07,58.9667,58.9667,58.06,58.1733,1890891
2013-05-08,58.37,58.65,57.84,58.26,2121702
2013-05-09,58.17,58.7,58.17,58.3,1159914
2013-05-10,58.53,60.02,58.3,60.01,1304985
2013-05-13,60.0067,61.0933,59.7867,61.0133,2948184
2013-05-14,61.0733,62.1133,61.0334,62.06,3849195
2013-05-15,62.06,62.33,60.96,61.34,1950387
2013-05-16,61.65,61.65,59.77,60.08,2446173
2013-05-17,60.4267,60.7,59.9167,60.67,1486782
2013-05-20,60.78,61.0,59.81,59.92,2694567
2013-05-21,60.03,60.73,59.79,60.51,1772949
2013-05-22,60.76,62.13,59.75,60.33,3194532
2013-05-23,59.5,60.74,58.33,60.42,2391801
2013-05-24,60.3,60.31,59.64,60.25,1618959
2013-05-28,61.16,61.65,60.55,61.01,1656873
2013-05-29,60.62,60.77,59.84,60.36,1295301
2013-05-30,60.4967,61.3566,60.27,61.0767,1423299
2013-05-31,61.04,61.19,59.83,59.83,1758477
2013-06-03,58.977,59.92,57.687,59.143,4434012
2013-06-04,59.23,59.45,57.7683,58.07,2480907
2013-06-05,57.8,58.68,56.402,56.753,6094275
2013-06-06,56.71,58.45,56.71,58.39,3132699
2013-06-07,58.76,59.8,58.68,59.73,2424498
