Date,Open,High,Low,Close,Volume
2013-01-02,17.51,17.55,17.186,17.49,78154
2013-01-03,17.56,17.692,17.3047,17.56,43264
2013-01-04,17.67,17.81,17.52,17.72,47446
2013-01-07,17.83,17.87,17.62,17.71,58325
2013-01-08,17.75,17.76,17.27,17.33,32987
2013-01-09,17.43,17.543,17.27,17.31,20660
2013-01-10,17.31,17.38,17.02,17.08,34470
2013-01-11,17.12,17.125,16.918,16.96,27292
2013-01-14,16.94,17.185,16.9,17.06,21631
2013-01-15,16.97,17.37,16.97,17.29,18915
2013-01-16,17.21,17.22,16.95,16.95,70878
2013-01-17,17.04,17.04,16.95,17.03,40169
2013-01-18,17.0,17.52,17.0,17.34,39071
2013-01-22,17.39,17.75,17.3,17.71,107917
2013-01-23,17.75,17.98,17.75,17.88,67651
2013-01-24,17.89,17.9699,17.8,17.88,57654
2013-01-25,18.0,18.0,17.79,17.98,51610
2013-01-28,18.07,18.8273,18.07,18.79,184164
2013-01-29,18.74,19.15,18.614,18.93,60014
2013-01-30,18.93,19.01,18.75,18.96,40825
2013-01-31,18.95,19.36,18.8,19.19,73505
2013-02-01,19.31,19.67,19.156,19.62,57014
2013-02-04,19.6,19.74,18.98,19.2,37976
2013-02-05,19.3,19.4,18.82,19.26,27410
2013-02-06,19.16,19.42,19.15,19.3,19991
2013-02-07,19.17,19.43,19.14,19.25,34380
2013-02-08,19.22,19.45,18.99,19.31,26161
2013-02-11,19.4,19.5,19.19,19.42,30810
2013-02-12,19.2701,19.43,19.25,19.33,21095
2013-02-13,19.16,19.4,19.0,19.33,16379
2013-02-14,19.33,19.49,19.19,19.35,18288
2013-02-15,19.49,19.5,19.25,19.36,28193
2013-02-19,19.36,19.58,19.18,19.56,32763
2013-02-20,19.52,19.55,19.15,19.19,32945
2013-02-21,19.07,19.5,18.88,19.49,48084
2013-02-22,19.6,19.61,19.36,19.6,29646
2013-02-25,20.11,20.5,20.0,20.07,80471
2013-02-26,20.11,20.81,19.74,20.33,255975
2013-02-27,20.36,20.72,20.03,20.45,52722
2013-02-28,20.49,20.73,20.31,20.56,39233
2013-03-01,20.39,20.65,20.13,20.57,27213
2013-03-04,20.59,20.75,20.42,20.73,20766
2013-03-05,20.76,20.91,20.502,20.75,26352
2013-03-06,20.76,21.35,20.5247,21.0,33117
2013-03-07,21.06,21.1,20.72,20.89,32282
2013-03-08,21.03,21.03,20.6301,20.78,26919
