Date,Open,High,Low,Close,Volume
2013-01-02,64.76,64.84,63.61,64.32,88361
2013-01-03,64.21,64.775,63.36,64.68,49419
2013-01-04,64.96,65.77,64.52,64.77,54264
2013-01-07,64.31,64.76,63.39,63.4007,31047
2013-01-08,63.65,64.18,63.0,63.43,77771
2013-01-09,63.38,65.27,63.38,64.97,49732
2013-01-10,64.96,65.07,63.56,64.26,25065
2013-01-11,64.38,64.94,63.995,64.65,42564
2013-01-14,64.34,64.99,64.15,64.99,19817
2013-01-15,64.5,65.56,64.5,65.3,23532
2013-01-16,65.23,65.67,64.61,65.41,47368
2013-01-17,65.75,65.8,65.4,65.7,19660
2013-01-18,65.87,66.29,65.27,66.11,56337
2013-01-22,65.97,66.6,65.54,66.5,32810
2013-01-23,66.4,66.52,65.41,65.51,38848
2013-01-24,65.44,65.88,63.282,65.62,48596
2013-01-25,65.77,66.28,64.7909,66.06,60703
2013-01-28,65.99,66.7225,65.28,66.42,57596
2013-01-29,67.0,69.9682,67.0,68.34,82691
2013-01-30,67.97,68.22,67.03,67.4,44654
2013-01-31,67.49,68.8568,67.3,68.15,61493
2013-02-01,68.17,68.73,68.15,68.38,47390
2013-02-04,68.1,68.73,67.28,68.36,45308
2013-02-05,68.48,69.04,68.48,68.96,51027
2013-02-06,68.56,69.35,68.3,69.2,36760
2013-02-07,69.18,69.61,69.01,69.33,103256
2013-02-08,69.21,69.49,68.74,68.94,36547
2013-02-11,68.8,68.8,68.45,68.8,53871
2013-02-12,68.65,68.95,68.43,68.67,49506
2013-02-13,68.73,68.85,68.51,68.75,34824
2013-02-14,68.79,69.51,68.71,68.87,39205
2013-02-15,69.18,69.18,68.67,69.03,29537
2013-02-19,68.96,69.64,68.8301,69.39,114493
2013-02-20,69.32,70.0,68.83,68.85,36471
2013-02-21,68.96,69.22,68.33,68.87,43950
2013-02-22,69.04,69.5165,68.52,68.97,77634
2013-02-25,69.09,69.78,68.78,68.92,90846
2013-02-26,68.68,69.57,68.46,68.77,65877
2013-02-27,68.68,69.665,68.68,69.09,30835
2013-02-28,69.23,69.63,68.76,69.22,44065
2013-03-01,69.51,70.43,69.005,69.98,45250
2013-03-04,69.64,69.65,68.505,68.88,56932
2013-03-05,69.01,71.64,69.01,71.06,85045
2013-03-06,71.44,71.63,69.93,70.35,39919
2013-03-07,70.08,70.845,69.46,70.01,31906
2013-03-08,70.61,71.705,70.01,71.49,38917
2013-03-11,71.2,71.8099,70.26,71.13,43384
2013-03-12,70.95,71.4,70.14,71.27,25335
2013-03-13,71.21,72.34,71.18,72.05,29719
2013-03-14,71.99,72.56,71.635,72.01,24405
2013-03-15,72.17,72.4299,71.46,72.2,57795
2013-03-18,71.59,72.36,71.12,72.18,28164
2013-03-19,72.45,73.18,72.15,72.79,47390
2013-03-20,72.97,74.2,72.88,73.87,26310
2013-03-21,73.24,74.16,72.95,73.58,27710
2013-03-22,73.57,75.0,73.45,74.6,39973
2013-03-25,75.0,75.48,74.75,75.04,38120
2013-03-26,75.3,75.84,74.73,75.83,37371
2013-03-27,75.27,76.54,74.63,76.17,40284
2013-03-28,76.32,77.33,75.68,76.89,32059
2013-04-01,77.04,77.04,74.86,75.12,43863
2013-04-02,75.26,76.42,75.16,75.86,66924
2013-04-03,75.95,75.95,74.1401,74.3,36605
2013-04-04,74.34,74.88,73.98,74.4,95415
2013-04-05,73.3,74.23,73.3,73.94,47795
2013-04-08,74.0,74.0,73.24,73.45,50489
2013-04-09,73.47,73.75,72.88,73.22,34574
2013-04-10,73.22,75.17,73.018,74.8,72799
2013-04-11,74.77,75.79,74.585,75.33,30639
2013-04-12,75.3,76.24,74.75,76.09,44239
2013-04-15,75.97,75.97,73.91,74.33,84621
2013-04-16,74.68,76.55,74.44,76.32,37850
2013-04-17,75.62,76.33,73.65,74.06,41404
2013-04-18,74.37,75.14,73.78,74.11,24941
2013-04-19,74.1,76.27,74.1,75.46,28390
2013-04-22,75.55,75.99,74.77,75.42,44091
2013-04-23,75.89,76.33,75.52,75.935,42479
2013-04-24,75.95,76.23,74.87,75.42,26214
2013-04-25,75.67,75.68,74.34,74.79,25330
2013-04-26,74.73,74.92,73.155,73.25,60429
2013-04-29,74.16,74.7,72.8,74.43,60400
2013-04-30,74.23,75.43,74.07,75.02,37506
2013-05-01,74.68,74.91,72.98,73.08,64882
2013-05-02,73.15,75.4,73.15,75.29,55276
2013-05-03,75.88,76.74,75.46,76.45,37496
2013-05-06,76.23,76.23,75.0601,75.93,14868
2013-05-07,75.93,76.38,75.07,76.37,21380
2013-05-08,76.14,76.88,75.67,76.87,68199
2013-05-09,76.75,76.7799,75.535,75.73,21282
2013-05-10,75.87,76.4199,75.7,75.91,15350
2013-05-13,75.85,76.65,75.0,76.04,20871
2013-05-14,76.3,77.0,76.22,76.88,69500
2013-05-15,76.83,79.04,76.66,78.9,50862
2013-05-16,78.57,80.85,78.21,80.2,73706
2013-05-17,80.26,80.26,79.13,80.05,73449
2013-05-20,79.86,79.86,77.67,78.16,43722
2013-05-21,78.1,78.43,77.264,77.72,44525
2013-05-22,77.65,79.13,76.4301,77.0,38572
2013-05-23,76.56,77.66,75.62,77.1,28046
2013-05-24,77.09,78.02,75.88,77.61,19192
2013-05-28,77.62,79.26,77.62,78.4,69745
2013-05-29,78.08,78.08,76.35,76.96,16121
2013-05-30,77.3,77.3299,76.38,76.65,23146
2013-05-31,76.06,76.92,75.68,75.9,58003
2013-06-03,75.55,77.37,75.0801,76.67,82018
2013-06-04,76.8,77.29,75.62,76.1,81859
2013-06-05,76.22,76.26,74.62,74.86,55443
2013-06-06,75.02,75.97,73.78,74.89,66497
2013-06-07,75.04,76.53,74.9101,76.32,39005
2013-06-10,76.37,76.9075,75.86,76.68,34851
2013-06-11,75.77,76.53,75.22,75.75,42093
2013-06-12,76.4,76.4,75.4,75.81,20471
2013-06-13,75.62,76.56,75.11,76.27,24563
2013-06-14,76.39,76.64,74.91,75.56,47353
2013-06-17,75.87,76.23,75.62,75.99,37700
2013-06-18,75.9,76.38,75.61,75.99,35418
2013-06-19,76.09,76.35,75.27,75.27,39647
2013-06-20,74.58,75.1099,73.9,74.45,43283
2013-06-21,74.5,76.28,74.5,75.86,108749
2013-06-24,74.75,76.0,74.01,75.24,63883
2013-06-25,75.59,75.98,74.66,75.0,39278
2013-06-26,75.28,75.79,74.51,74.68,27044
2013-06-27,74.91,76.65,74.91,76.11,47650
2013-06-28,75.78,77.96,75.72,77.8,183920
2013-07-01,77.71,79.968,77.32,78.84,52744
2013-07-02,78.42,79.53,77.83,79.49,65942
2013-07-03,78.94,79.63,78.79,79.29,15631
2013-07-05,80.5,80.5,78.1,79.11,49706
2013-07-08,79.09,80.5,78.79,80.37,32431
2013-07-09,80.47,81.69,80.15,81.36,63023
2013-07-10,81.48,82.11,81.06,81.74,62561
2013-07-11,82.08,82.84,81.78,82.67,67036
2013-07-12,82.56,82.86,81.87,82.41,36020
2013-07-15,82.63,83.57,81.72,82.87,32298
2013-07-16,82.71,82.74,81.9,82.53,56571
2013-07-17,82.48,82.64,81.79,82.63,37305
2013-07-18,82.97,84.21,82.61,83.47,56604
2013-07-19,83.52,84.25,83.12,84.18,42114
2013-07-22,83.89,84.29,83.69,84.02,37564
2013-07-23,84.34,84.34,83.28,83.59,45990
2013-07-24,83.72,84.48,80.4,82.03,93845
2013-07-25,82.01,83.46,81.88,83.13,27150
2013-07-26,82.5,83.31,81.8,82.62,45306
2013-07-29,82.59,83.075,81.5,82.02,31808
2013-07-30,81.98,81.98,80.5,81.5,23028
2013-07-31,81.55,81.55,79.68,79.68,43093
2013-08-01,80.19,80.95,79.9,80.77,50000
2013-08-02,80.34,81.28,79.73,80.5,44171
2013-08-05,80.23,81.795,80.23,81.76,34525
2013-08-06,81.5,81.71,81.02,81.17,24586
2013-08-07,80.95,81.76,80.05,80.1,29253
2013-08-08,80.4,81.09,79.52,79.73,40482
2013-08-09,79.78,80.5,79.59,79.95,11579
2013-08-12,79.6,79.94,78.67,78.86,34943
2013-08-13,79.387,79.93,78.73,78.95,8610
2013-08-14,79.16,79.29,78.07,78.23,25136
2013-08-15,77.41,77.41,74.63,75.15,54570
2013-08-16,74.87,77.28,74.87,77.26,146614
2013-08-19,76.79,77.565,76.74,76.97,27606
2013-08-20,77.26,78.28,76.89,78.16,23611
2013-08-21,77.79,78.14,76.76,77.25,19322
2013-08-22,77.64,80.0,77.25,78.9,26863
2013-08-23,78.74,78.89,78.28,78.89,22762
2013-08-26,79.43,79.43,77.69,78.1,71146
2013-08-27,77.29,77.29,75.89,76.85,27939
2013-08-28,76.78,77.06,76.47,76.86,28012
2013-08-29,76.8,78.0,76.76,77.62,21071
2013-08-30,77.33,77.38,76.33,76.92,38901
2013-09-03,77.78,77.85,76.44,76.88,21005
2013-09-04,77.04,77.04,75.36,76.59,69694
2013-09-05,76.79,77.1575,76.06,76.24,11918
2013-09-06,76.45,76.45,74.72,75.79,14906
2013-09-09,76.22,76.5299,75.59,76.31,22529
2013-09-10,76.82,76.82,75.41,76.45,53769
2013-09-11,76.27,77.58,76.27,77.36,20390
2013-09-12,77.77,78.15,77.44,77.5,23785
2013-09-13,77.9,78.4,77.5,78.23,12267
2013-09-16,78.8,78.87,77.86,78.01,25378
2013-09-17,78.25,79.52,78.25,79.45,32671
2013-09-18,79.43,80.5,79.08,80.33,32173
2013-09-19,80.57,80.79,79.49,80.03,22005
2013-09-20,79.83,80.86,79.31,80.3,113966
2013-09-23,80.69,80.75,80.1,80.66,18092
2013-09-24,80.96,81.44,79.5,81.28,38013
2013-09-25,81.39,81.73,80.33,80.51,44209
2013-09-26,80.5201,81.64,80.195,81.61,32563
2013-09-27,81.1,81.22,80.535,80.79,32558
2013-09-30,79.82,80.88,79.29,80.72,51615
2013-10-01,80.46,81.03,78.68,80.7,75056
2013-10-02,80.23,80.53,79.69,80.07,37193
2013-10-03,79.79,80.39,78.13,79.45,50191
2013-10-04,79.44,80.54,78.27,79.63,29741
2013-10-07,79.2,79.97,78.62,79.32,26797
2013-10-08,79.56,80.04,78.71,79.19,48981
2013-10-09,79.21,80.1,78.95,79.36,38810
2013-10-10,80.43,81.19,79.58,80.0,60874
2013-10-11,79.46,82.0,79.46,82.0,30535
2013-10-14,81.39,82.78,81.11,82.74,27025
2013-10-15,82.78,83.63,81.74,83.04,45610
2013-10-16,83.8,85.18,82.7,84.59,30149
2013-10-17,84.07,85.14,83.79,84.61,49566
2013-10-18,85.3,85.45,84.0,84.73,152018
2013-10-21,84.57,84.92,84.21,84.3,34049
2013-10-22,84.8,86.02,84.53,85.8,21586
2013-10-23,85.48,86.11,84.67,85.62,40421
2013-10-24,86.1,86.1,84.75,85.84,34415
2013-10-25,86.16,86.16,85.06,85.73,21315
2013-10-28,86.02,87.4,86.02,86.82,26501
2013-10-29,86.94,87.71,85.78,87.28,22695
