Date,Open,High,Low,Close,Volume
2013-01-02,32.87,32.94,32.17,32.71,159062
2013-01-03,32.78,32.9663,32.48,32.89,118136
2013-01-04,32.99,33.43,32.78,33.24,53175
2013-01-07,32.96,33.075,32.63,32.88,46515
2013-01-08,32.76,33.0,32.58,32.77,74019
2013-01-09,32.84,33.03,32.64,33.03,48960
2013-01-10,33.06,33.46,32.9401,33.28,62742
2013-01-11,33.35,33.35,32.47,32.92,103647
2013-01-14,32.8,33.1,32.61,33.0,71877
2013-01-15,32.83,33.1135,32.78,33.03,44228
2013-01-16,32.89,32.89,32.42,32.81,47172
2013-01-17,32.97,33.72,32.0,33.64,120457
2013-01-18,33.4,33.58,31.69,31.84,128170
2013-01-22,31.8,33.0699,31.8,32.99,102398
2013-01-23,32.89,33.09,32.8301,32.945,61520
2013-01-24,32.87,33.08,32.5101,32.7,41183
2013-01-25,32.88,32.88,31.97,32.21,84065
2013-01-28,32.23,32.89,32.05,32.75,77136
2013-01-29,32.72,33.06,32.53,32.83,68028
2013-01-30,32.68,32.81,32.38,32.56,47384
2013-01-31,32.54,33.22,32.41,32.76,158173
2013-02-01,32.86,32.86,32.355,32.57,123895
2013-02-04,32.37,32.48,31.98,32.12,73065
2013-02-05,32.38,32.5699,31.73,32.13,56292
2013-02-06,32.03,32.22,31.72,32.06,65498
2013-02-07,32.02,32.05,31.77,31.91,52010
2013-02-08,31.99,32.2,31.83,31.96,117507
2013-02-11,31.93,32.295,31.84,32.0,75776
2013-02-12,32.07,32.57,32.0,32.38,157318
2013-02-13,32.34,32.67,32.17,32.49,176827
2013-02-14,32.34,32.6,32.19,32.25,76042
2013-02-15,32.44,32.71,32.15,32.63,98827
2013-02-19,32.68,33.62,32.67,33.5,123330
2013-02-20,33.48,33.48,32.86,32.94,121849
2013-02-21,32.94,33.94,32.94,33.72,176164
2013-02-22,33.97,34.0,33.59,33.76,66178
2013-02-25,33.88,33.95,32.65,32.67,73605
2013-02-26,32.82,33.4799,32.82,33.04,54888
2013-02-27,33.0,33.46,33.0,33.16,44008
2013-02-28,33.06,33.5,32.96,33.0,75004
2013-03-01,32.74,33.28,32.74,33.08,132646
2013-03-04,33.0,33.22,32.73,33.19,60682
2013-03-05,33.37,33.72,33.3,33.68,69123
2013-03-06,33.7,33.89,33.32,33.39,46538
2013-03-07,33.35,33.74,33.3,33.65,114639
2013-03-08,33.98,34.63,33.71,34.55,100686
2013-03-11,34.4,34.63,33.89,33.95,36376
2013-03-12,33.99,34.63,33.7,34.41,126196
2013-03-13,34.35,34.63,34.34,34.56,56077
2013-03-14,34.6,35.26,34.4,35.22,76324
2013-03-15,35.29,35.31,34.4,34.41,408979
2013-03-18,34.14,34.87,34.14,34.5,102193
2013-03-19,34.62,34.74,34.4,34.6,130980
2013-03-20,34.7,35.22,34.54,35.15,61768
2013-03-21,34.84,35.19,34.61,34.73,73705
2013-03-22,34.75,34.968,34.6,34.8,56566
2013-03-25,34.95,35.1895,34.56,34.82,54646
2013-03-26,35.06,35.07,34.5901,34.85,52574
2013-03-27,34.53,34.7099,34.25,34.55,107740
2013-03-28,34.7,35.08,34.63,34.916,183235
2013-04-01,34.76,34.76,33.66,34.05,65386
2013-04-02,34.16,34.23,33.6001,33.67,40748
2013-04-03,33.7,33.7,33.28,33.33,70741
2013-04-04,33.41,33.6108,33.1375,33.39,99026
2013-04-05,32.85,33.831,32.85,33.71,136566
2013-04-08,33.73,33.9,33.42,33.87,50029
2013-04-09,33.88,34.2099,33.85,33.85,51516
2013-04-10,33.94,34.98,33.872,34.7,48878
2013-04-11,34.69,34.84,34.36,34.68,107067
2013-04-12,34.5,34.99,34.5,34.9,76521
2013-04-15,34.66,34.66,33.38,33.61,127213
2013-04-16,33.83,34.17,33.63,33.94,88502
2013-04-17,33.73,33.93,33.26,33.46,83921
2013-04-18,33.6,33.71,33.112,33.33,93554
2013-04-19,32.91,34.07,32.8086,33.83,92652
2013-04-22,34.03,34.03,33.35,33.79,58291
2013-04-23,34.05,34.34,33.86,34.26,262866
2013-04-24,34.17,35.13,34.07,34.98,283857
2013-04-25,35.11,35.99,35.11,35.51,60250
2013-04-26,35.49,35.69,35.1,35.65,62751
2013-04-29,35.79,36.18,35.67,36.02,51767
2013-04-30,36.0,36.91,35.96,36.81,98361
2013-05-01,36.59,36.85,36.27,36.3,182440
2013-05-02,36.57,36.97,36.35,36.84,61546
2013-05-03,37.17,38.14,37.17,37.77,77723
2013-05-06,37.7,38.0,37.5801,37.81,44911
2013-05-07,37.84,38.46,37.84,38.41,62863
2013-05-08,38.39,39.14,38.28,38.86,85772
2013-05-09,38.87,39.35,38.65,38.71,87899
2013-05-10,38.86,39.37,38.56,39.17,33420
2013-05-13,38.81,38.87,37.76,38.18,78657
2013-05-14,38.12,38.56,38.0,38.5,49945
2013-05-15,38.32,38.9,38.17,38.66,52129
2013-05-16,38.57,38.94,38.07,38.21,68276
2013-05-17,38.37,38.73,38.16,38.61,115009
2013-05-20,38.44,38.74,38.38,38.56,60618
2013-05-21,38.52,38.77,38.45,38.47,79700
2013-05-22,38.43,39.2,37.79,37.99,57931
2013-05-23,37.77,38.08,37.32,38.07,110526
2013-05-24,37.77,38.32,37.7101,38.21,38719
2013-05-28,38.83,39.15,37.85,38.8,47972
2013-05-29,38.45,39.03,38.19,38.75,72554
2013-05-30,38.77,39.05,38.14,38.33,127805
2013-05-31,38.04,38.6,37.98,38.35,103207
2013-06-03,38.35,38.55,37.73,38.41,210348
2013-06-04,38.4,38.77,37.77,38.13,94266
2013-06-05,38.06,38.17,37.43,37.58,40949
