Date,Open,High,Low,Close,Volume
2013-01-02,50.41,50.41,48.27,49.09,404603
2013-01-03,49.19,49.38,48.47,48.53,246367
2013-01-04,48.69,48.96,48.38,48.47,273020
2013-01-07,48.52,49.64,48.35,49.58,207617
2013-01-08,49.4,49.95,49.17,49.43,241442
2013-01-09,49.67,49.9,49.25,49.27,211034
2013-01-10,49.54,49.75,49.16,49.53,177491
2013-01-11,49.65,49.75,49.16,49.74,244728
2013-01-14,49.75,50.3,49.21,50.2,316535
2013-01-15,49.92,50.2,49.55,50.09,293929
2013-01-16,50.17,50.23,49.61,49.62,166376
2013-01-17,49.74,50.4,49.6,50.26,204173
2013-01-18,50.46,50.51,49.9,50.42,183267
2013-01-22,50.54,51.22,50.24,50.5,189040
2013-01-23,50.59,51.2199,50.17,50.82,168346
2013-01-24,50.98,51.738,50.76,51.39,333749
2013-01-25,51.56,51.56,50.751,51.04,152671
2013-01-28,51.05,51.95,50.98,51.6,153366
2013-01-29,51.73,52.52,51.48,52.32,195255
2013-01-30,52.18,52.7399,51.61,51.78,114112
2013-01-31,51.88,52.01,51.089,51.3,141309
2013-02-01,51.61,52.04,50.96,51.79,96346
2013-02-04,51.75,51.79,50.91,51.1,131430
2013-02-05,51.4,51.8199,51.06,51.45,94962
2013-02-06,51.54,52.34,51.38,52.11,75563
2013-02-07,52.25,52.666,51.98,52.56,101719
2013-02-08,52.64,53.26,52.34,52.39,146711
2013-02-11,52.29,52.93,51.75,52.0,95608
2013-02-12,52.03,52.93,51.8,52.47,125801
2013-02-13,52.35,52.68,51.91,52.15,124950
2013-02-14,52.2,52.75,52.01,52.29,110087
2013-02-15,52.61,52.8,52.04,52.19,139352
2013-02-19,52.09,54.37,51.22,51.609,190637
2013-02-20,51.61,52.49,51.31,51.53,205327
2013-02-21,51.5,51.899,51.13,51.35,127232
2013-02-22,51.63,51.74,50.33,50.49,228428
2013-02-25,50.54,51.355,50.08,50.55,230644
2013-02-26,50.88,51.13,50.15,51.0,179127
2013-02-27,51.13,51.67,50.65,51.19,114147
2013-02-28,51.1,52.44,51.0,51.56,254897
2013-03-01,51.48,52.82,51.44,52.66,236695
2013-03-04,52.7,52.765,51.85,52.56,220415
2013-03-05,52.97,53.08,51.53,53.0,228890
2013-03-06,53.0,53.57,51.5,53.26,213585
2013-03-07,53.37,53.98,53.01,53.16,142883
2013-03-08,53.15,54.14,53.15,53.52,203450
2013-03-11,53.59,53.89,53.15,53.48,226924
2013-03-12,53.27,53.745,52.93,53.14,182492
2013-03-13,53.05,54.02,53.04,53.54,94036
2013-03-14,53.51,53.86,53.21,53.55,102541
2013-03-15,53.37,53.77,53.16,53.55,292729
2013-03-18,53.34,54.08,52.99,53.62,154986
2013-03-19,53.63,54.5,53.62,54.23,153578
2013-03-20,54.01,54.42,53.86,54.19,92849
2013-03-21,53.45,54.57,53.45,53.74,131379
2013-03-22,53.94,54.17,53.195,53.25,83319
2013-03-25,50.86,51.5,46.65,47.45,1619008
2013-03-26,46.31,48.635,46.0,48.04,1017657
2013-03-27,47.6,48.21,47.01,47.64,324610
2013-03-28,47.78,47.78,46.87,47.57,630953
2013-04-01,47.69,49.14,47.09,48.72,346345
2013-04-02,49.46,50.19,48.775,49.21,286177
2013-04-03,49.36,50.0,48.53,48.85,248172
2013-04-04,48.82,49.91,48.82,49.55,264793
2013-04-05,48.92,49.57,48.92,49.1,157390
2013-04-08,49.33,49.86,48.97,49.83,198169
2013-04-09,49.96,51.57,49.61,51.2,308620
2013-04-10,51.35,51.54,50.5,50.57,227236
2013-04-11,50.69,50.94,50.56,50.92,103836
2013-04-12,50.9,51.19,50.49,50.71,89890
2013-04-15,50.68,50.75,49.52,49.73,222549
2013-04-16,50.02,50.63,49.36,50.04,289181
2013-04-17,49.97,50.365,49.28,49.87,315784
2013-04-18,49.82,50.03,49.5,49.66,310447
2013-04-19,49.61,49.8,49.06,49.47,206624
2013-04-22,49.43,49.45,48.57,49.19,189043
2013-04-23,49.43,50.3,48.9,50.28,256463
2013-04-24,50.42,50.65,50.04,50.37,174634
2013-04-25,50.64,50.92,50.15,50.81,118226
2013-04-26,50.78,51.234,50.26,50.62,113737
2013-04-29,50.77,51.01,50.43,50.49,260198
2013-04-30,51.05,51.4499,50.01,51.16,224584
2013-05-01,50.11,50.81,49.67,50.09,259132
2013-05-02,50.38,51.4,49.98,51.33,155781
2013-05-03,51.79,52.12,50.94,51.0,252294
2013-05-06,51.0,51.0,50.02,50.17,205699
2013-05-07,50.43,50.8099,50.25,50.53,183161
2013-05-08,50.6,51.12,50.51,51.05,156916
2013-05-09,51.1,51.53,50.18,50.41,132332
2013-05-10,50.56,50.93,50.21,50.8,142848
2013-05-13,50.75,51.38,50.35,51.38,145405
2013-05-14,51.5,52.0,51.11,51.8,130537
2013-05-15,51.66,52.56,51.295,52.4,177379
2013-05-16,52.47,52.495,50.53,50.81,205353
2013-05-17,51.0,51.81,51.0,51.7,183413
2013-05-20,51.73,52.82,51.445,52.22,187693
2013-05-21,52.13,52.74,51.92,52.4,183075
2013-05-22,52.59,53.35,52.57,52.82,176191
2013-05-23,52.73,53.78,52.285,53.61,179757
2013-05-24,53.6,53.89,52.68,53.33,85100
2013-05-28,53.44,54.52,53.42,54.33,105875
2013-05-29,54.31,54.49,53.35,54.41,148230
2013-05-30,54.68,55.0,54.05,55.0,118690
2013-05-31,54.91,55.0,54.43,54.5,168913
2013-06-03,54.75,55.21,54.085,55.14,258966
2013-06-04,55.15,55.19,54.36,54.74,197029
2013-06-05,54.59,54.97,53.64,53.71,132186
2013-06-06,53.71,54.3,53.43,54.22,114157
2013-06-07,54.57,54.91,54.28,54.58,130172
2013-06-10,54.79,55.23,54.12,55.17,94971
2013-06-11,54.99,55.48,54.712,55.19,128351
2013-06-12,55.2,55.25,54.74,54.81,110957
2013-06-13,54.67,55.822,54.4,55.58,186020
2013-06-14,55.75,56.0,55.18,55.61,138302
2013-06-17,55.98,56.45,55.69,56.21,151232
2013-06-18,56.43,57.23,55.76,56.75,106148
2013-06-19,56.83,57.28,56.09,56.25,110509
2013-06-20,55.94,56.43,55.49,56.21,242324
2013-06-21,56.28,56.63,53.01,53.82,613992
2013-06-24,53.61,55.09,53.39,54.82,168817
2013-06-25,54.95,55.83,54.21,55.62,181098
2013-06-26,56.13,56.13,54.72,54.74,106608
2013-06-27,55.09,56.24,55.09,55.83,112507
2013-06-28,55.64,56.72,55.21,56.08,283047
2013-07-01,56.19,57.13,55.95,56.32,148712
2013-07-02,56.45,57.21,55.89,56.2,100021
2013-07-03,55.97,56.15,55.25,55.69,48333
2013-07-05,56.01,56.08,55.442,55.97,90643
2013-07-08,56.25,57.205,55.87,57.09,185981
2013-07-09,57.12,58.55,56.89,57.96,160017
2013-07-10,58.11,58.25,57.22,57.75,154288
2013-07-11,58.0,58.2,56.58,57.41,208116
2013-07-12,57.54,58.19,57.18,57.61,141203
2013-07-15,57.77,58.13,57.33,58.01,238091
2013-07-16,58.2,58.4296,57.435,57.57,109571
2013-07-17,57.86,58.35,57.12,57.82,124142
2013-07-18,58.06,58.53,57.55,58.51,135113
2013-07-19,58.58,59.35,58.0,59.0,120879
2013-07-22,58.85,59.51,58.54,59.32,118856
2013-07-23,59.57,59.65,59.06,59.17,100469
2013-07-24,59.17,59.5,58.31,58.5,128384
2013-07-25,58.81,60.54,58.57,59.57,237284
2013-07-26,59.5,59.938,58.49,59.28,210680
2013-07-29,59.26,59.49,57.95,58.23,176428
2013-07-30,56.19,57.41,55.33,56.41,372041
2013-07-31,56.65,57.44,56.46,57.15,157111
2013-08-01,57.37,57.84,56.8601,57.17,174620
2013-08-02,57.19,57.62,56.958,57.33,151172
2013-08-05,57.39,57.91,56.996,57.79,151404
2013-08-06,57.78,58.2,57.44,57.9,134892
2013-08-07,57.96,58.22,57.451,57.64,148570
2013-08-08,57.82,58.17,57.68,58.0,136264
2013-08-09,57.85,59.12,57.85,58.3,103432
2013-08-12,58.24,58.24,57.5,58.19,126259
2013-08-13,58.36,58.36,56.92,58.08,97016
2013-08-14,58.2,58.65,57.76,58.09,98116
2013-08-15,57.77,57.77,55.89,56.24,106917
2013-08-16,56.02,57.2,56.02,57.09,113758
2013-08-19,57.21,57.65,56.24,56.33,111113
2013-08-20,56.4,57.1,56.27,56.56,111150
2013-08-21,56.27,57.36,56.13,56.87,131132
2013-08-22,57.11,58.41,56.8,58.31,115878
2013-08-23,58.24,58.65,57.56,58.16,180230
2013-08-26,58.23,58.81,58.01,58.46,66736
2013-08-27,58.18,58.71,57.33,57.57,204811
2013-08-28,57.75,58.15,57.36,57.42,67825
2013-08-29,57.45,57.92,57.07,57.6,52475
2013-08-30,57.47,57.56,56.04,56.21,112520
2013-09-03,56.54,57.08,55.87,56.38,99367
2013-09-04,56.36,57.02,55.89,57.0,89224
2013-09-05,57.13,57.77,56.512,57.57,81993
2013-09-06,57.9,57.9,56.03,56.85,84519
2013-09-09,57.16,57.16,56.07,56.8,173177
2013-09-10,57.1,58.325,56.7,58.07,217901
2013-09-11,58.17,58.889,57.991,58.39,89143
2013-09-12,58.67,59.55,58.67,59.27,86806
2013-09-13,59.69,59.8,58.9,59.37,74642
2013-09-16,59.9,60.12,59.44,59.72,79860
2013-09-17,59.72,59.72,58.9,59.31,53903
2013-09-18,59.3,59.6,58.33,59.07,93214
2013-09-19,59.34,59.49,58.03,58.37,97801
2013-09-20,58.35,59.15,58.01,58.29,217072
2013-09-23,58.44,60.0,57.8,59.97,158464
2013-09-24,60.0,60.4,59.46,59.61,270834
2013-09-25,59.83,59.83,58.54,59.07,110516
2013-09-26,59.29,60.11,58.81,59.81,183485
2013-09-27,59.43,59.92,58.84,59.7,154732
2013-09-30,59.69,60.61,58.88,59.96,121436
2013-10-01,59.8,61.36,59.8,61.32,118164
2013-10-02,61.14,61.32,59.9225,60.07,134692
2013-10-03,60.05,60.49,58.99,59.55,171188
2013-10-04,59.41,60.8,59.095,60.4,40623
2013-10-07,60.17,60.4199,59.51,59.63,49808
2013-10-08,59.76,60.26,59.39,59.62,98958
2013-10-09,59.88,60.38,58.85,58.895,260511
2013-10-10,58.98,59.21,57.61,58.86,323580
2013-10-11,58.99,59.65,58.951,59.64,177716
2013-10-14,59.65,60.23,59.23,59.97,90148
2013-10-15,60.04,60.48,59.63,59.67,115346
2013-10-16,60.12,60.66,59.89,60.56,168974
2013-10-17,60.5,60.52,59.95,60.46,105443
2013-10-18,61.0,61.0,59.69,60.5,112874
2013-10-21,60.5,60.5,60.03,60.18,117058
2013-10-22,60.41,60.62,60.14,60.49,148816
2013-10-23,60.45,60.78,59.98,59.99,201631
2013-10-24,62.0,62.0,53.51,58.41,660378
2013-10-25,60.99,61.76,59.5,59.93,286817
2013-10-28,59.8,60.44,59.43,60.18,134035
2013-10-29,59.55,60.345,59.55,59.79,177764
2013-10-30,59.55,59.968,59.35,59.37,182774
2013-10-31,59.23,59.8799,58.62,58.7,146423
2013-11-01,58.64,58.655,58.03,58.34,208652
2013-11-04,58.8,59.68,58.665,59.13,332927
2013-11-05,59.01,59.4,58.695,58.85,128731
2013-11-06,58.97,59.61,58.97,59.46,441707
2013-11-07,59.55,59.76,58.96,59.19,181011
2013-11-08,59.14,59.65,59.03,59.46,109898
2013-11-11,59.24,59.45,58.76,58.99,154911
2013-11-12,58.97,59.54,58.94,59.42,126395
2013-11-13,59.3,60.29,59.3,60.25,241125
2013-11-14,60.25,61.52,60.01,61.2,134196
2013-11-15,61.15,61.57,61.02,61.41,183577
2013-11-18,61.47,61.686,61.085,61.37,253612
2013-11-19,60.84,61.169,58.84,59.83,193961
2013-11-20,59.9,60.17,59.43,59.83,158369
2013-11-21,60.12,60.58,59.91,60.36,133448
2013-11-22,60.19,60.75,59.93,60.62,126435
2013-11-25,60.86,61.08,60.28,60.52,97976
2013-11-26,60.38,60.78,60.2,60.61,131293
2013-11-27,60.77,61.06,60.244,60.85,168742
2013-11-29,61.15,61.56,60.945,61.2,102916
2013-12-02,61.01,61.35,60.75,61.16,131432
2013-12-03,61.1,61.26,60.67,61.06,164505
2013-12-04,60.76,61.04,60.28,60.6,103227
2013-12-05,60.6,60.87,60.425,60.73,109126
2013-12-06,61.13,61.99,60.77,61.44,88142
2013-12-09,61.44,62.0,60.87,61.01,90675
2013-12-10,61.02,61.08,59.81,59.97,125930
2013-12-11,60.2,60.2,59.08,59.29,122860
2013-12-12,59.39,59.9,59.11,59.2,129833
2013-12-13,59.56,59.64,58.22,58.95,136702
2013-12-16,59.07,59.97,58.9101,59.8,102385
2013-12-17,59.23,59.28,56.61,56.97,554252
2013-12-18,56.8,57.01,56.22,56.91,228830
2013-12-19,56.89,57.56,56.654,57.45,183326
2013-12-20,57.69,58.26,57.099,58.18,465888
2013-12-23,58.18,58.7,57.81,58.09,271150
2013-12-24,58.3,59.1999,57.85,58.16,113926
2013-12-26,58.16,58.48,57.86,58.31,96971
2013-12-27,58.5,58.5,57.59,57.93,87528
2013-12-30,57.81,59.13,57.7,59.07,138403
2013-12-31,59.05,60.33,59.05,59.91,169342
2014-01-02,59.48,59.88,58.83,59.02,131951
2014-01-03,58.98,59.64,58.59,59.03,190995
2014-01-06,59.22,59.6,58.46,58.83,140376
2014-01-07,59.02,60.46,58.71,59.9,151237
2014-01-08,59.22,60.35,58.365,60.31,227333
2014-01-09,60.41,60.5,59.75,59.98,177471
2014-01-10,59.95,60.41,59.72,60.0,130998
2014-01-13,59.9,60.24,58.969,59.17,203326
2014-01-14,59.29,59.92,59.04,59.72,135032
2014-01-15,59.68,60.081,59.53,59.84,202774
2014-01-16,59.7,59.74,59.15,59.66,111378
2014-01-17,59.5,60.38,59.41,60.14,71504
