Date,Open,High,Low,Close,Volume
2013-01-02,50.51,53.35,49.38,52.73,12385
2013-01-03,52.94,53.05,51.95,52.6,5410
2013-01-04,52.67,54.88,52.56,53.9,3934
2013-01-07,53.8,54.32,51.12,53.3,32684
2013-01-08,53.11,53.23,51.91,52.75,26735
2013-01-09,52.2,53.5,52.2,52.97,23165
2013-01-10,52.81,53.12,52.44,53.0,8085
2013-01-11,52.9,53.24,52.37,52.37,6277
2013-01-14,52.54,52.96,51.92,52.52,2246
2013-01-15,52.18,52.85,52.04,52.29,33571
2013-01-16,52.47,52.68,51.96,52.33,11748
2013-01-17,52.26,53.0,51.62,52.63,1987
2013-01-18,52.36,53.08,51.11,52.12,5451
2013-01-22,52.2,52.77,51.51,52.28,2899
2013-01-23,52.879,52.879,52.06,52.11,1125
2013-01-24,50.79,52.27,50.79,52.05,20980
2013-01-25,51.69,52.45,51.07,51.84,2685
2013-01-28,51.9,52.7,51.05,52.69,5830
2013-01-29,52.63,52.63,50.19,52.22,2352
2013-01-30,52.39,52.65,51.75,52.57,5441
2013-01-31,52.73,52.73,51.8,51.99,14979
2013-02-01,51.5901,52.64,51.59,52.24,2520
2013-02-04,52.26,52.359,51.825,52.09,9475
2013-02-05,52.39,52.74,51.6601,52.74,2726
2013-02-06,52.25,52.5,51.5,52.3,5074
2013-02-07,51.61,52.67,51.5,51.97,896
2013-02-08,52.3499,52.35,51.95,52.21,5008
2013-02-11,51.29,52.47,51.29,52.35,17638
2013-02-12,52.33,52.4,52.01,52.4,1292
2013-02-13,52.3,52.4,52.01,52.06,3901
2013-02-14,52.0301,52.18,52.03,52.18,503
2013-02-15,52.34,53.06,52.02,52.42,37879
2013-02-19,52.7,53.43,52.7,53.12,6699
2013-02-20,53.1599,53.17,52.74,52.8,8329
2013-02-21,52.95,53.21,52.75,53.21,5365
2013-02-22,53.21,53.41,52.3901,53.2,4132
2013-02-25,53.12,53.41,52.47,52.75,4251
2013-02-26,53.0,53.0,52.81,52.81,212
2013-02-27,52.5,52.98,52.5,52.86,2344
2013-02-28,52.9,53.49,52.9,53.06,12701
2013-03-01,52.9175,53.07,52.56,53.0,1833
2013-03-04,53.02,53.38,52.89,53.38,7035
2013-03-05,53.39,53.78,53.07,53.78,34104
2013-03-06,53.79,53.79,53.14,53.21,2153
2013-03-07,53.49,53.49,53.14,53.43,745
2013-03-08,53.64,54.0,53.5,53.99,1874
2013-03-11,54.02,54.02,53.43,53.56,2114
2013-03-12,53.61,54.05,53.1,53.38,1569
2013-03-13,53.0,53.7,53.0,53.7,1012
2013-03-14,54.01,54.01,53.02,53.97,2319
2013-03-15,53.92,55.0,53.825,54.25,22674
2013-03-18,54.15,54.84,53.68,53.94,3758
2013-03-19,54.1,54.4,53.57,53.7,9904
2013-03-20,53.89,57.0,53.89,54.41,3195
2013-03-21,54.39,55.02,54.03,54.21,12880
2013-03-22,54.21,54.3001,54.21,54.3001,418
2013-03-25,54.39,54.9,54.1,54.28,17909
2013-03-26,54.6,54.6,54.16,54.18,2100
2013-03-27,54.5,54.5,53.53,53.53,1261
2013-03-28,53.73,54.1,52.71,52.776,37270
2013-04-01,53.3,53.79,51.43,51.85,72824
2013-04-02,52.17,52.78,50.91,51.96,12449
2013-04-03,52.07,54.49,51.308,52.7,13156
2013-04-04,53.4,53.4,52.2,53.12,3465
2013-04-05,52.29,53.18,52.12,52.8,2304
2013-04-08,53.49,53.49,52.3,52.49,1635
2013-04-09,53.5,53.5,52.6501,53.14,5634
2013-04-10,53.25,53.37,52.53,52.77,5377
2013-04-11,53.0,53.0,52.76,52.77,2023
2013-04-12,53.0,53.0,52.13,52.24,2204
2013-04-15,52.96,52.96,52.0,52.01,4504
2013-04-16,52.53,52.95,51.35,52.0,15995
2013-04-17,51.64,51.64,50.19,50.97,23490
2013-04-18,51.29,51.29,50.26,50.85,7735
2013-04-19,51.37,51.37,49.35,49.85,20618
2013-04-22,50.1,50.1,49.36,49.6,7000
2013-04-23,49.95,49.99,49.27,49.69,8246
2013-04-24,49.75,49.75,49.15,49.56,7081
2013-04-25,49.41,49.5,49.02,49.2,4297
2013-04-26,49.25,49.6999,48.27,48.5,20949
2013-04-29,48.8,49.36,48.38,49.23,20893
2013-04-30,49.13,49.4,48.901,49.36,2178
2013-05-01,49.0,49.0,47.55,47.55,9936
2013-05-02,47.85,48.879,46.268,47.45,32365
2013-05-03,47.73,48.0,46.94,47.4,20252
2013-05-06,47.3,47.49,46.77,47.12,6833
2013-05-07,47.07,48.4,47.07,48.02,2666
2013-05-08,48.05,49.53,48.05,48.67,27555
2013-05-09,48.77,51.05,48.77,49.33,28846
2013-05-10,49.53,51.85,49.28,51.54,44159
2013-05-13,51.59,52.9,51.45,52.9,3114
2013-05-14,52.69,54.1,52.56,52.88,34236
2013-05-15,52.83,54.5,52.35,54.25,27718
2013-05-16,54.25,54.28,53.76,54.25,26664
2013-05-17,54.36,55.54,53.94,54.89,42466
2013-05-20,54.59,55.98,54.07,55.26,36894
2013-05-21,55.25,55.41,52.92,53.24,41800
2013-05-22,53.32,53.88,51.89,51.96,27077
2013-05-23,52.07,53.21,51.54,52.45,3215
2013-05-24,52.56,52.94,51.2,52.38,30511
2013-05-28,52.62,54.28,52.62,53.52,12151
2013-05-29,53.34,53.34,52.51,53.03,11281
2013-05-30,53.37,53.65,52.65,53.39,41854
2013-05-31,53.02,53.5,52.45,52.94,24343
2013-06-03,52.83,53.0,52.1,52.73,17354
2013-06-04,52.93,53.0,52.12,52.42,5272
2013-06-05,52.51,52.9,51.59,52.11,38654
2013-06-06,52.18,52.3,51.3,51.51,31875
2013-06-07,51.75,52.86,51.69,52.5,34553
2013-06-10,52.6,52.99,52.45,52.61,16224
2013-06-11,52.5,52.79,52.0,52.23,43576
2013-06-12,52.35,52.75,52.3,52.51,26268
2013-06-13,52.4,53.9,52.3,53.62,41559
2013-06-14,53.55,53.55,52.43,52.92,29000
2013-06-17,53.12,53.59,52.52,53.18,17282
2013-06-18,53.25,53.57,53.06,53.24,12373
2013-06-19,52.85,53.4,52.85,53.1,6570
2013-06-20,53.05,53.25,52.36,52.62,21951
2013-06-21,52.82,54.79,52.82,53.51,35772
2013-06-24,53.6,54.46,53.58,53.67,29329
2013-06-25,53.63,54.29,53.63,53.99,23544
2013-06-26,53.96,54.0,53.66,53.82,5653
2013-06-27,53.71,54.0,53.51,53.94,4549
2013-06-28,53.97,54.13,53.66,54.13,19659
2013-07-01,53.93,55.83,53.71,55.0,59089
2013-07-02,55.0,55.4,54.38,54.79,22323
2013-07-03,54.88,55.9,54.728,55.23,5483
2013-07-05,55.51,56.86,55.1,56.61,8252
2013-07-08,56.8,57.0,55.3601,56.93,9005
2013-07-09,57.0,57.53,56.73,57.23,10754
2013-07-10,57.37,59.02,56.96,57.6,28665
2013-07-11,57.73,59.34,57.35,58.73,53942
2013-07-12,58.52,59.42,57.99,58.28,33859
2013-07-15,58.12,61.21,56.55,59.51,25672
2013-07-16,59.22,60.99,59.22,60.34,35402
2013-07-17,60.64,62.39,59.77,60.98,5843
2013-07-18,61.51,62.5,61.15,61.93,10636
2013-07-19,61.77,63.25,61.77,62.6,26799
2013-07-22,62.6,62.95,62.03,62.67,10057
2013-07-23,62.875,63.84,62.3,63.79,28347
2013-07-24,63.4,63.4,62.24,62.88,10653
2013-07-25,62.42,63.81,62.42,63.25,30930
2013-07-26,62.94,63.85,62.36,63.5,5582
2013-07-29,63.62,65.39,63.0,63.92,9633
2013-07-30,63.93,64.27,63.7,64.0,3700
2013-07-31,63.55,65.4,63.55,65.26,13990
2013-08-01,65.25,65.39,64.18,65.39,6320
2013-08-02,65.0,66.44,64.97,66.44,5193
2013-08-05,66.37,66.85,65.464,66.71,2291
2013-08-06,66.68,67.7,66.41,67.33,2190
2013-08-07,67.12,67.12,63.46,64.39,11152
2013-08-08,64.1,64.1,59.86,60.84,7693
2013-08-09,60.2,60.54,58.03,58.79,7861
2013-08-12,58.97,62.16,58.97,61.63,8951
2013-08-13,61.66,64.57,61.66,63.17,9499
2013-08-14,62.65,62.95,61.02,62.0,27849
2013-08-15,61.94,62.38,60.495,61.93,20287
2013-08-16,61.53,64.28,61.25,63.67,9190
2013-08-19,63.49,65.97,63.49,65.65,21341
2013-08-20,65.65,67.03,65.48,66.65,9978
2013-08-21,66.5,66.66,65.1,66.37,12215
2013-08-22,66.06,66.925,65.55,66.34,7552
2013-08-23,66.26,67.2,65.01,65.18,28355
2013-08-26,64.68,65.495,64.25,64.57,14156
2013-08-27,64.45,65.11,64.45,64.71,9398
2013-08-28,64.2,65.3,64.2,65.21,4631
2013-08-29,65.6,66.58,64.57,66.26,4975
2013-08-30,66.2,66.66,64.73,65.06,9035
2013-09-03,65.8,66.04,64.1,65.55,17334
2013-09-04,65.4,66.14,65.0,65.34,4540
2013-09-05,65.01,66.5,65.01,66.44,43370
2013-09-06,66.11,66.38,63.69,64.85,15106
2013-09-09,65.2,66.67,64.64,66.0,8177
2013-09-10,66.56,66.99,65.5,65.83,16231
2013-09-11,65.64,67.06,65.12,66.1,25285
2013-09-12,66.07,66.78,65.56,65.95,25521
2013-09-13,66.06,66.56,65.7,66.56,22811
2013-09-16,67.2,67.51,66.11,66.44,23514
2013-09-17,66.2,66.99,65.78,66.59,11647
2013-09-18,66.92,67.64,66.33,67.37,5738
2013-09-19,67.28,67.99,66.03,67.4,21842
2013-09-20,67.68,69.94,67.2,69.755,41751
2013-09-23,69.22,70.46,68.79,69.77,26685
2013-09-24,69.86,71.5,69.46,71.04,8637
2013-09-25,70.98,72.4,70.87,71.32,18801
2013-09-26,71.7,71.7,68.29,69.01,8584
2013-09-27,68.33,70.2,68.33,69.2,4211
2013-09-30,68.93,69.1909,66.99,67.61,6209
2013-10-01,68.48,69.21,67.53,68.95,24053
2013-10-02,68.52,69.09,67.69,68.25,11696
2013-10-03,67.7,68.78,67.57,67.82,29516
2013-10-04,67.77,68.95,67.5,68.42,21770
2013-10-07,68.5,68.5,68.0,68.08,3725
2013-10-08,68.41,68.67,67.76,67.8,19035
2013-10-09,68.42,69.99,68.1641,69.34,19247
2013-10-10,69.95,71.33,69.67,70.39,10442
2013-10-11,69.86,72.74,69.86,72.74,7474
2013-10-14,72.74,73.32,71.39,72.35,11520
2013-10-15,72.19,72.56,70.4,70.67,12990
2013-10-16,71.2,72.24,70.64,71.95,31617
2013-10-17,71.74,73.28,71.38,72.07,13457
2013-10-18,72.57,74.01,71.83,73.6,29497
2013-10-21,73.58,73.74,72.43,72.94,7388
2013-10-22,72.55,73.19,71.85,72.84,13166
2013-10-23,73.12,73.49,71.7,71.79,34339
2013-10-24,71.89,73.8,70.92,71.16,6166
2013-10-25,71.58,71.78,70.77,70.99,3118
2013-10-28,70.98,70.98,68.95,69.38,4122
2013-10-29,69.82,70.839,68.1311,69.41,10582
2013-10-30,68.94,68.94,68.1,68.49,16107
2013-10-31,68.49,69.9691,67.78,69.63,12818
2013-11-01,69.52,69.52,67.37,69.48,14622
2013-11-04,69.04,69.2,67.21,67.88,13706
2013-11-05,67.0,67.0,64.95,65.74,8258
2013-11-06,65.78,68.59,65.0,67.81,28263
2013-11-07,68.61,71.0,66.2,69.75,17987
2013-11-08,70.06,72.64,70.06,71.72,21979
2013-11-11,71.36,72.42,70.4,71.59,14194
2013-11-12,71.54,72.2,70.07,70.94,16362
2013-11-13,70.26,72.0,70.26,71.38,7951
2013-11-14,71.2,71.6,71.2,71.54,7230
2013-11-15,71.44,71.98,71.25,71.58,24713
2013-11-18,71.81,74.26,68.55,73.21,5030
2013-11-19,72.53,73.67,72.53,73.3,2877
2013-11-20,73.52,73.76,72.51,72.9,4976
2013-11-21,73.25,75.49,72.53,75.49,3246
2013-11-22,75.29,81.7,74.9,80.23,11475
2013-11-25,81.02,81.02,77.81,78.14,26514
2013-11-26,78.61,79.8,77.18,78.74,20823
2013-11-27,78.68,79.44,78.37,79.44,6203
2013-11-29,79.5,82.76,79.5,82.76,12595
2013-12-02,82.65,82.65,78.33,78.5,26998
2013-12-03,79.4,79.42,76.73,78.26,28203
2013-12-04,77.85,79.4,76.95,79.29,7589
