Date,Open,High,Low,Close,Volume
2013-01-02,34.35,34.99,34.3,34.99,269491
2013-01-03,35.04,35.29,34.42,34.5496,102921
2013-01-04,34.7,34.84,34.346,34.74,161515
2013-01-07,34.39,34.48,34.02,34.36,118040
2013-01-08,34.14,34.71,34.13,34.68,250440
2013-01-09,34.68,34.88,34.45,34.73,115570
2013-01-10,34.85,35.02,34.58,34.86,111943
2013-01-11,34.85,34.93,34.5,34.66,94845
2013-01-14,37.0,37.3099,36.74,36.95,1045865
2013-01-15,36.75,36.75,36.12,36.69,228639
2013-01-16,36.99,36.99,36.69,36.97,156766
2013-01-17,36.99,37.8,36.79,37.76,322956
2013-01-18,37.6,38.28,37.41,38.11,248600
2013-01-22,37.87,38.27,37.5001,38.2,334303
2013-01-23,37.74,37.74,37.41,37.42,166508
2013-01-24,37.0,37.0,36.71,36.88,164135
2013-01-25,37.0,37.23,36.75,37.05,149036
2013-01-28,36.62,37.07,36.33,37.01,280228
2013-01-29,36.94,37.182,36.71,37.0,110819
2013-01-30,37.0,37.26,36.76,37.02,131885
2013-01-31,36.71,36.99,36.57,36.91,147816
2013-02-01,37.0,37.48,36.8101,37.32,176023
2013-02-04,37.0,37.234,36.77,36.85,137556
2013-02-05,36.94,37.117,36.591,36.9,87915
2013-02-06,36.72,37.0,36.605,36.82,115179
2013-02-07,36.67,37.11,36.48,37.0,226050
2013-02-08,37.0,37.39,36.72,37.0,62652
2013-02-11,36.99,37.262,36.92,37.08,210809
2013-02-12,37.06,37.41,37.03,37.07,171864
2013-02-13,35.22,37.56,35.2,36.77,424479
2013-02-14,36.44,36.74,35.91,36.41,230325
2013-02-15,36.25,36.54,36.18,36.2,190637
2013-02-19,36.32,36.53,36.12,36.23,93601
2013-02-20,36.4,36.79,36.26,36.35,141359
2013-02-21,36.3,36.3,35.61,35.95,95762
2013-02-22,36.07,36.28,35.815,35.98,81098
2013-02-25,36.37,36.408,35.56,35.62,161017
2013-02-26,36.06,36.31,35.68,36.13,178785
2013-02-27,36.02,36.28,35.77,35.9,152858
2013-02-28,35.77,36.02,34.88,35.31,199790
2013-03-01,35.25,35.73,35.24,35.61,160015
2013-03-04,35.44,35.82,35.44,35.74,88513
2013-03-05,36.12,36.3699,35.93,36.23,126866
2013-03-06,36.52,36.58,36.1,36.43,180708
2013-03-07,36.6,36.72,36.34,36.69,167540
2013-03-08,36.72,36.84,36.315,36.79,118721
2013-03-11,36.9,36.94,36.57,36.78,86659
2013-03-12,36.57,36.59,36.02,36.17,102833
2013-03-13,35.98,36.52,35.68,36.24,150133
2013-03-14,35.89,36.47,35.822,36.44,110129
