Date,Open,High,Low,Close,Volume
2013-01-02,34.29,35.24,34.2,35.19,265456
2013-01-03,35.35,35.35,34.72,35.0,231330
2013-01-04,35.19,35.45,34.83,35.3,147774
2013-01-07,35.0,35.47,34.52,34.6828,97358
2013-01-08,34.75,34.84,33.8,34.07,105091
2013-01-09,34.17,34.863,34.17,34.77,105511
2013-01-10,35.0,35.09,34.25,34.87,110737
2013-01-11,34.94,34.96,34.2701,34.65,81262
2013-01-14,34.51,34.67,34.11,34.49,69486
2013-01-15,34.23,34.75,34.08,34.55,127630
2013-01-16,34.46,35.68,34.42,35.36,129172
2013-01-17,35.46,36.44,35.46,36.14,113972
2013-01-18,36.02,36.09,35.37,36.09,181869
2013-01-22,36.02,36.79,35.81,36.62,190725
2013-01-23,36.78,36.88,36.332,36.71,178631
2013-01-24,36.6,37.64,36.38,37.36,222766
2013-01-25,37.47,37.95,37.06,37.5,140910
2013-01-28,37.47,38.125,37.47,37.74,143841
2013-01-29,37.6,37.79,37.17,37.58,128739
2013-01-30,37.46,37.82,37.05,37.26,114966
2013-01-31,37.31,37.58,37.02,37.4,127546
2013-02-01,37.51,38.19,37.29,38.07,266478
2013-02-04,37.77,38.58,37.77,38.18,311914
2013-02-05,39.5,43.83,39.5,43.69,1238561
2013-02-06,43.31,46.1191,43.31,44.65,759302
2013-02-07,44.07,45.18,43.75,44.11,427415
2013-02-08,43.54,44.48,43.34,44.27,279615
2013-02-11,43.29,43.61,42.49,43.18,285307
2013-02-12,43.19,43.48,42.76,43.34,189765
2013-02-13,43.36,44.13,43.16,43.98,178665
2013-02-14,43.84,44.16,43.49,43.77,188693
2013-02-15,44.0,44.0,43.47,43.67,110617
2013-02-19,43.7,43.99,43.5,43.88,220138
2013-02-20,43.79,43.94,42.61,42.67,158565
2013-02-21,42.65,42.86,41.95,42.42,230242
2013-02-22,42.74,42.74,42.19,42.58,142627
2013-02-25,42.77,42.77,41.305,41.32,186476
2013-02-26,41.56,41.62,40.86,41.39,176149
2013-02-27,41.24,42.38,41.24,41.76,109562
2013-02-28,41.67,42.28,41.54,41.81,200911
2013-03-01,41.27,41.81,40.42,40.94,308520
2013-03-04,40.9,41.08,40.39,40.58,143720
2013-03-05,40.86,42.07,40.8,41.87,154624
2013-03-06,41.97,42.39,41.48,41.67,175160
2013-03-07,41.8,42.12,41.44,41.79,104063
2013-03-08,42.03,42.23,41.23,42.18,105493
2013-03-11,42.0,42.205,41.53,42.2,106418
2013-03-12,42.15,42.5,42.03,42.28,109495
2013-03-13,42.3,42.5,41.83,42.33,114855
2013-03-14,42.52,43.0,42.27,42.87,132244
2013-03-15,42.65,42.69,41.92,42.29,250792
2013-03-18,41.72,42.55,41.53,42.55,190093
2013-03-19,42.81,43.48,42.73,42.91,205138
2013-03-20,43.13,43.83,42.96,43.8,111066
2013-03-21,43.35,43.66,42.59,42.96,149879
2013-03-22,43.1,43.66,43.01,43.39,189205
2013-03-25,43.45,43.9,41.8568,42.54,201362
2013-03-26,42.8,43.16,42.28,42.88,85460
2013-03-27,42.5,42.86,41.94,42.73,108113
2013-03-28,42.91,43.68,42.49,43.41,159449
2013-04-01,43.37,43.9,41.96,42.11,185434
2013-04-02,42.42,42.42,41.51,41.6,135578
2013-04-03,41.82,41.91,41.25,41.32,133198
2013-04-04,41.3,41.83,40.97,41.77,94142
2013-04-05,41.01,41.95,40.97,41.63,70077
2013-04-08,41.67,41.84,40.91,41.79,70082
2013-04-09,41.85,42.55,41.25,41.94,109432
2013-04-10,42.09,42.96,42.09,42.48,151284
2013-04-11,42.36,42.64,41.825,42.27,185997
2013-04-12,41.97,42.15,41.072,41.72,154384
2013-04-15,41.33,41.765,40.901,41.08,193055
2013-04-16,41.64,42.57,41.26,42.47,158966
2013-04-17,42.12,42.12,40.01,40.37,298241
2013-04-18,40.58,40.81,38.03,38.28,259852
2013-04-19,38.45,38.8,37.63,38.54,118423
2013-04-22,38.83,39.19,37.74,38.88,104489
2013-04-23,39.27,40.48,39.27,40.32,217497
2013-04-24,40.23,40.65,39.88,40.43,145890
2013-04-25,40.47,41.3,39.99,40.23,227547
2013-04-26,40.0,40.0,39.34,39.44,159297
2013-04-29,39.52,40.96,39.43,40.93,205596
2013-04-30,40.98,41.44,40.48,41.41,205084
2013-05-01,41.24,41.67,40.05,40.2,299764
2013-05-02,40.46,42.09,40.2,42.0,286042
2013-05-03,40.04,44.49,38.05,43.07,737889
2013-05-06,42.5,43.36,42.03,42.75,141767
2013-05-07,42.24,42.66,41.804,42.66,94662
2013-05-08,42.63,43.43,42.164,43.16,267816
2013-05-09,42.62,43.12,42.1,42.91,446227
2013-05-10,42.91,43.62,42.665,43.52,202887
2013-05-13,43.32,43.6,42.867,43.26,256575
2013-05-14,43.39,43.8,43.16,43.68,213637
2013-05-15,43.43,44.358,43.21,44.24,91789
2013-05-16,44.1,45.07,43.96,44.15,182389
2013-05-17,44.55,44.63,43.77,44.59,163103
2013-05-20,44.54,44.88,44.14,44.8,154252
2013-05-21,44.89,45.5,44.69,45.18,213581
2013-05-22,44.68,45.21,43.2855,43.69,216536
2013-05-23,43.21,44.16,43.1,44.04,132119
2013-05-24,43.8,44.38,43.74,43.94,219946
2013-05-28,44.15,44.3995,42.7,43.16,250398
2013-05-29,42.6,43.24,42.34,42.45,171571
2013-05-30,42.51,42.97,42.15,42.42,394377
2013-05-31,42.17,43.38,42.17,42.69,184114
2013-06-03,42.95,42.95,41.895,42.41,261470
2013-06-04,42.61,42.842,42.0,42.22,240804
2013-06-05,42.04,42.32,41.46,41.96,202800
2013-06-06,42.02,42.35,41.32,41.62,335296
2013-06-07,42.03,42.16,41.59,41.88,81717
2013-06-10,42.05,42.05,41.66,41.96,100040
2013-06-11,41.48,41.6,40.19,40.29,144824
2013-06-12,40.95,41.195,39.47,39.85,146208
2013-06-13,39.88,40.36,39.51,40.21,137045
2013-06-14,40.21,40.52,39.665,39.98,95268
2013-06-17,40.25,40.448,39.435,39.99,162129
2013-06-18,40.08,41.32,39.93,41.07,126775
2013-06-19,41.13,41.4,40.33,40.35,137269
2013-06-20,39.77,40.3,39.38,39.65,132078
2013-06-21,39.77,40.26,39.49,39.86,249912
2013-06-24,39.49,39.688,38.71,38.86,157767
2013-06-25,39.39,39.95,38.86,39.85,139225
2013-06-26,40.3,40.3,39.52,39.89,153045
2013-06-27,40.13,41.21,40.066,40.98,159636
2013-06-28,40.74,41.56,40.54,40.56,284512
2013-07-01,40.8,41.5999,40.4426,41.16,102130
2013-07-02,41.03,41.64,40.755,41.28,103589
2013-07-03,41.14,41.67,41.0,41.42,31277
2013-07-05,42.07,42.6,41.84,42.54,151819
2013-07-08,42.62,42.62,41.25,41.53,99287
2013-07-09,41.91,42.86,41.3701,42.32,100483
2013-07-10,42.4,42.96,42.31,42.93,166786
2013-07-11,43.35,44.08,43.16,44.04,116551
2013-07-12,43.9,44.7,43.9,44.48,99173
2013-07-15,46.29,50.0,44.85,49.35,1120104
2013-07-16,50.0,52.89,49.82,51.82,795917
2013-07-17,51.98,52.673,51.38,52.39,267740
2013-07-18,52.44,52.77,51.73,52.02,281902
2013-07-19,51.99,53.33,51.434,52.87,183780
2013-07-22,52.77,53.376,52.07,52.33,151351
2013-07-23,52.63,53.32,52.29,52.39,322943
2013-07-24,52.61,53.22,50.94,51.34,183756
2013-07-25,51.42,51.7,50.91,51.65,178949
2013-07-26,51.1,51.5,50.68,51.39,132732
2013-07-29,51.16,52.12,50.71,51.2,146430
2013-07-30,51.52,52.61,51.26,52.07,273338
2013-07-31,53.1,55.59,52.6,55.15,572160
2013-08-01,55.14,55.81,54.48,54.94,251775
2013-08-02,53.92,54.25,52.93,53.73,243909
2013-08-05,53.51,54.61,53.38,54.04,292182
2013-08-06,54.02,54.39,53.09,53.27,245253
2013-08-07,53.27,53.49,51.92,52.46,158411
2013-08-08,52.81,53.16,52.41,52.8,139603
2013-08-09,52.5,52.9,51.46,52.75,147089
2013-08-12,52.75,53.22,52.38,53.16,158599
2013-08-13,53.12,53.61,52.62,53.09,120182
2013-08-14,53.03,53.26,52.49,52.57,95463
2013-08-15,51.92,52.2,51.161,51.48,109634
2013-08-16,51.24,52.29,51.23,51.95,151446
2013-08-19,52.1,52.1,50.71,50.73,130993
2013-08-20,50.85,51.98,50.73,51.74,92447
2013-08-21,51.7,51.95,50.78,51.39,104781
2013-08-22,51.51,52.2195,51.37,51.79,65695
2013-08-23,51.91,53.63,51.62,53.21,166059
2013-08-26,53.39,54.65,52.94,53.5,159487
2013-08-27,52.61,52.99,50.84,50.97,93680
2013-08-28,51.01,51.87,50.9,51.46,73464
2013-08-29,51.49,53.34,51.49,53.25,122871
2013-08-30,53.1,53.37,52.12,52.12,147686
2013-09-03,53.06,53.97,51.96,53.08,124753
2013-09-04,53.11,54.72,52.93,54.55,204102
2013-09-05,54.61,55.16,54.17,54.88,91852
2013-09-06,55.13,55.54,53.92,54.44,71107
2013-09-09,54.62,54.989,54.07,54.71,100836
2013-09-10,55.19,56.01,55.1435,55.93,97330
2013-09-11,55.63,56.24,55.39,55.66,59482
2013-09-12,55.62,55.954,55.0201,55.26,79645
2013-09-13,55.29,55.586,54.43,55.3,83549
2013-09-16,56.0,56.0,54.98,55.16,100884
2013-09-17,55.16,55.61,54.81,55.34,164932
2013-09-18,55.27,56.0,54.69,55.23,127982
2013-09-19,55.54,55.73,54.9,55.19,51812
2013-09-20,55.21,56.25,55.06,56.05,286107
2013-09-23,56.18,56.55,55.18,55.63,108178
2013-09-24,55.54,57.24,55.101,56.45,146760
2013-09-25,56.36,56.45,54.3,55.1,154973
2013-09-26,55.23,55.23,54.4,54.76,78751
2013-09-27,54.24,55.07,54.0,54.83,104193
2013-09-30,54.21,55.22,53.855,54.16,236876
2013-10-01,54.25,54.752,53.94,54.16,234869
2013-10-02,53.73,54.62,53.29,53.84,171370
2013-10-03,53.83,54.08,52.517,53.69,196012
2013-10-04,53.61,54.97,53.46,53.87,195644
2013-10-07,53.39,53.8,52.66,53.46,146153
2013-10-08,53.62,53.91,52.0,52.24,164994
2013-10-09,52.34,52.96,51.62,51.88,167837
2013-10-10,52.6,54.11,52.39,54.0,110830
2013-10-11,54.0,56.3,53.65,55.89,180467
2013-10-14,55.4,56.755,55.4,56.31,103055
2013-10-15,56.1,56.49,55.18,55.29,92240
2013-10-16,55.73,55.955,54.88,54.97,120333
2013-10-17,54.5,54.53,53.62,53.67,210266
2013-10-18,54.22,54.22,53.22,53.57,250208
2013-10-21,53.55,54.33,53.435,53.65,206234
2013-10-22,53.76,54.21,53.41,53.87,78217
2013-10-23,53.36,53.36,50.556,51.49,260611
2013-10-24,51.67,51.765,50.94,51.4,147235
2013-10-25,51.3,52.1199,51.25,51.8,209284
2013-10-28,51.78,52.55,51.6501,52.07,142939
2013-10-29,52.1,52.58,51.0,52.1,271509
2013-10-30,52.1,52.27,51.1,51.431,229103
2013-10-31,51.93,60.3,51.93,57.282,1229083
2013-11-01,57.26,58.48,56.68,57.05,315379
2013-11-04,57.0,57.33,55.88,56.86,224391
2013-11-05,56.36,57.0,55.24,56.4,172557
2013-11-06,56.78,57.85,56.29,57.09,116603
2013-11-07,57.23,57.23,54.78,54.91,190396
2013-11-08,55.0,56.74,55.0,56.25,135755
2013-11-11,56.19,56.32,55.132,55.42,140693
2013-11-12,55.35,56.49,54.96,55.4,111112
2013-11-13,55.05,56.05,54.91,55.93,66309
2013-11-14,55.79,55.9175,54.06,54.21,122107
2013-11-15,54.15,54.99,53.31,54.22,251014
2013-11-18,54.33,55.25,53.54,53.89,158291
2013-11-19,53.75,53.96,52.85,53.02,173809
2013-11-20,53.15,53.65,52.0,52.55,131132
2013-11-21,52.88,54.27,52.67,53.94,135325
2013-11-22,53.91,54.42,53.32,53.71,119199
2013-11-25,53.7,53.8999,52.86,53.45,87516
2013-11-26,53.5,54.36,52.9701,53.84,125542
2013-11-27,53.72,54.208,53.1,53.76,103364
2013-11-29,54.0,54.5,53.31,53.46,51066
2013-12-02,53.3,53.65,51.68,52.38,159236
2013-12-03,52.15,53.275,51.62,53.0,174391
2013-12-04,52.83,54.0,52.45,53.34,122259
2013-12-05,53.28,55.31,53.19,54.36,180464
2013-12-06,55.09,55.39,54.34,54.74,145152
2013-12-09,54.9,55.12,53.68,53.97,189652
2013-12-10,53.71,54.03,53.2,53.45,162961
2013-12-11,53.45,53.525,51.985,52.29,274337
2013-12-12,52.18,52.75,51.55,51.81,204047
2013-12-13,52.0,53.09,51.286,52.6,168596
2013-12-16,52.93,53.89,52.916,53.46,112721
2013-12-17,53.6,55.0,53.342,54.68,176044
2013-12-18,54.745,55.025,53.45,54.49,171640
2013-12-19,54.49,54.49,53.18,53.38,129209
2013-12-20,53.33,54.02,52.16,53.8,424040
2013-12-23,54.19,54.72,53.9,54.53,124417
2013-12-24,54.43,54.9011,54.04,54.33,63671
2013-12-26,54.36,54.84,53.19,54.47,267399
2013-12-27,54.71,54.75,53.61,53.81,120638
2013-12-30,53.64,55.34,53.465,55.05,180359
2013-12-31,55.13,56.19,55.13,55.82,154523
2014-01-02,55.5,55.754,54.13,54.94,178629
2014-01-03,54.99,55.87,54.84,55.62,123989
2014-01-06,55.77,56.13,54.6,55.19,196751
2014-01-07,55.24,56.82,55.24,56.41,311207
2014-01-08,56.24,57.8,56.24,57.14,264599
2014-01-09,57.47,57.76,56.26,57.16,260535
2014-01-10,57.21,58.74,57.11,58.34,194493
2014-01-13,58.05,58.6725,56.7575,57.14,176499
2014-01-14,57.55,59.2,56.95,58.81,228651
2014-01-15,58.82,59.42,58.32,58.91,237082
2014-01-16,58.41,59.5,57.19,59.23,339716
2014-01-17,58.95,59.2,58.135,58.71,216150
2014-01-21,59.0,59.46,58.534,59.25,245212
2014-01-22,61.62,62.67,60.96,61.47,332043
2014-01-23,60.9,62.21,60.54,61.71,294992
2014-01-24,61.18,62.118,59.39,60.07,270340
2014-01-27,59.97,60.2899,59.0,59.69,332113
2014-01-28,59.79,60.225,58.87,59.89,392646
2014-01-29,59.44,60.5,58.83,58.95,227212
2014-01-30,59.57,60.9927,58.58,60.53,247973
2014-01-31,59.32,60.452,58.56,59.23,233140
2014-02-03,58.71,59.02,56.53,57.36,331106
2014-02-04,59.62,61.59,56.665,57.65,830522
2014-02-05,57.26,58.08,55.05,57.39,361367
2014-02-06,57.32,58.56,56.5,57.95,394803
2014-02-07,58.41,59.23,57.838,58.83,209227
2014-02-10,58.62,59.4,58.06,58.7,345195
2014-02-11,58.55,60.49,58.55,60.05,173617
2014-02-12,60.29,61.13,60.27,60.77,160740
2014-02-13,60.18,61.48,60.12,61.42,187323
2014-02-14,61.53,61.688,60.17,60.48,155216
2014-02-18,60.62,61.07,60.16,60.72,122905
2014-02-19,60.37,61.01,58.95,59.05,183344
2014-02-20,59.12,59.58,58.18,59.51,159726
2014-02-21,59.92,60.59,59.035,59.15,235945
2014-02-24,59.29,60.55,58.73,59.59,249130
2014-02-25,59.77,60.4125,58.52,59.11,238570
2014-02-26,59.21,60.48,59.14,59.52,106640
2014-02-27,59.52,59.99,58.83,59.43,126963
2014-02-28,59.64,60.18,58.96,59.13,181198
2014-03-03,58.72,58.72,57.41,58.43,157498
2014-03-04,59.19,61.73,58.9975,60.62,333154
2014-03-05,61.17,63.94,61.0,62.98,363280
2014-03-06,62.96,64.0,62.84,63.86,212738
2014-03-07,64.01,64.225,63.3,63.68,195622
2014-03-10,63.5,64.66,62.94,63.54,157838
2014-03-11,63.72,64.33,62.421,62.82,134719
2014-03-12,62.56,63.94,62.29,63.46,202908
2014-03-13,63.67,63.81,61.271,61.67,265945
2014-03-14,61.54,62.54,61.05,62.25,171459
2014-03-17,62.8,64.35,62.42,63.61,249265
2014-03-18,63.62,67.08,63.5,66.54,429709
2014-03-19,66.5,66.89,64.48,65.08,157182
2014-03-20,65.12,67.29,65.04,66.99,229014
2014-03-21,67.58,68.87,66.29,66.64,377019
2014-03-24,66.85,67.61,65.262,67.16,394136
2014-03-25,67.61,68.5,66.43,66.59,255346
2014-03-26,67.19,67.399,64.83,64.86,468741
2014-03-27,64.78,65.81,63.92,64.4,187011
2014-03-28,64.39,65.91,63.959,64.28,141316
2014-03-31,64.84,66.664,63.7478,65.78,228675
2014-04-01,66.05,66.89,65.41,66.6,195477
2014-04-02,65.9,67.03,65.69,66.6,146007
2014-04-03,66.7,67.3,65.79,66.16,148943
2014-04-04,66.65,66.65,62.565,63.17,188489
2014-04-07,62.87,63.77,61.0004,62.15,192395
2014-04-08,62.23,63.93,61.29,63.77,224145
2014-04-09,64.14,65.0,63.62,64.9,115694
2014-04-10,64.66,64.66,62.27,62.33,171989
2014-04-11,61.73,62.6,59.93,60.19,182634
2014-04-14,60.8,61.132,59.11,59.95,203871
2014-04-15,60.15,61.04,58.31,60.69,321544
2014-04-16,61.02,61.37,60.02,61.14,235674
2014-04-17,60.81,61.7,60.63,61.42,283993
2014-04-21,61.75,63.71,61.704,63.01,256217
2014-04-22,62.97,64.86,61.91,64.18,159623
2014-04-23,63.96,64.75,62.926,63.55,242925
2014-04-24,64.12,64.14,62.55,63.59,172191
2014-04-25,63.08,63.93,61.06,61.44,172147
2014-04-28,61.39,62.02,59.16,59.39,305044
2014-04-29,59.94,61.19,58.21,58.42,447955
