Date,Open,High,Low,Close,Volume
2013-01-02,28.0,28.14,27.4,27.79,317352
2013-01-03,27.805,28.345,27.4556,28.33,270478
2013-01-04,28.32,28.33,27.76,27.8,180648
2013-01-07,27.6,27.8,27.53,27.68,123974
2013-01-08,27.74,27.74,27.22,27.4,214558
2013-01-09,27.53,27.85,27.3633,27.78,155518
2013-01-10,27.845,27.979,27.415,27.665,233568
2013-01-11,27.7,27.7,27.33,27.51,171870
2013-01-14,27.47,27.65,27.34,27.46,124828
2013-01-15,27.27,27.6644,27.27,27.63,74612
2013-01-16,27.5,27.62,27.3,27.53,156884
2013-01-17,27.64,27.8,27.38,27.66,100384
2013-01-18,27.6,27.74,27.34,27.74,286944
2013-01-22,27.65,28.21,27.62,28.1,124576
2013-01-23,28.12,28.12,27.81,27.98,108968
2013-01-24,27.94,28.3,27.84,28.22,138076
2013-01-25,28.32,28.37,28.02,28.24,110904
2013-01-28,28.31,28.47,28.16,28.25,108576
2013-01-29,28.175,28.4391,27.995,28.155,213210
2013-01-30,28.14,28.29,27.68,28.01,198516
2013-01-31,28.055,28.36,27.156,28.05,187158
2013-02-01,28.195,28.4,28.006,28.235,177666
2013-02-04,28.08,28.3,27.94,28.0,134560
2013-02-05,28.0,28.24,27.9,28.07,148894
2013-02-06,27.96,28.29,27.63,28.18,70942
2013-02-07,28.12,28.27,27.76,27.96,337254
2013-02-08,27.945,28.445,27.942,28.275,155104
2013-02-11,28.22,28.23,28.0,28.2,126414
2013-02-12,28.135,28.39,28.06,28.09,184938
2013-02-13,28.1,28.325,27.62,27.76,157642
2013-02-14,27.68,27.87,26.95,26.98,412956
2013-02-15,27.15,27.86,27.15,27.57,287582
2013-02-19,27.54,28.02,27.46,28.0,242406
2013-02-20,27.975,28.144,27.66,27.665,294460
2013-02-21,27.6,28.21,27.6,28.02,160214
2013-02-22,28.14,28.365,27.932,28.285,145690
2013-02-25,28.03,28.42,27.98,28.0,356522
2013-02-26,28.02,28.66,28.02,28.32,588706
2013-02-27,26.14,27.25,24.94,25.74,1801078
