Date,Open,High,Low,Close,Volume
2013-01-02,14.32,14.36,13.7501,14.1,6975
2013-01-03,14.15,14.51,14.15,14.51,8365
2013-01-04,14.37,14.5,14.0,14.0,9944
2013-01-07,14.0,14.0775,13.41,13.82,10799
2013-01-08,14.23,14.35,14.1,14.11,2115
2013-01-09,14.296,14.296,13.52,13.7,4540
2013-01-10,13.88,14.2999,13.88,14.0,19691
2013-01-11,14.0,14.11,14.0,14.11,2233
2013-01-14,13.9,14.1,13.76,13.87,12569
2013-01-15,13.78,14.05,13.78,13.855,2490
2013-01-16,13.96,14.18,13.9,14.18,1700
2013-01-17,14.0001,14.132,14.0,14.1,3824
2013-01-18,14.0001,14.21,14.0001,14.21,921
2013-01-22,14.3,14.49,13.89,14.36,4899
2013-01-23,14.4999,14.5,14.2798,14.39,1373
2013-01-24,14.35,14.39,14.2,14.26,4742
2013-01-25,14.2,14.5,14.2,14.39,3108
2013-01-28,14.49,14.5,14.2,14.2,3432
2013-01-29,14.778,14.88,14.25,14.49,14494
2013-01-30,14.75,14.75,14.375,14.46,5089
2013-01-31,14.4,14.4,14.2,14.28,4531
2013-02-01,14.37,14.68,14.2,14.26,15380
2013-02-04,14.32,14.45,14.0,14.0001,6502
2013-02-05,14.1,14.1,13.48,13.94,2507
2013-02-06,13.35,14.1,13.3,14.01,8833
2013-02-07,14.0,14.738,13.929,14.32,19037
2013-02-08,14.39,14.47,14.2,14.2,2919
2013-02-11,14.19,14.33,14.17,14.33,792
2013-02-12,14.3,14.5,14.01,14.12,11604
2013-02-13,14.15,14.29,13.98,14.29,12440
2013-02-14,14.6,14.6,13.82,14.39,18026
2013-02-15,14.21,14.21,14.21,14.21,100
2013-02-19,14.32,14.35,14.2578,14.35,1563
2013-02-20,14.23,14.35,14.0,14.15,1877
2013-02-21,14.12,14.15,14.0,14.04,3916
2013-02-22,14.1,14.1,13.68,13.76,1141
2013-02-25,13.85,13.89,13.54,13.7,9738
2013-02-26,13.47,14.086,13.47,13.54,4101
2013-02-27,13.65,13.8,13.54,13.54,1245
2013-02-28,13.5101,13.65,13.5101,13.65,806
2013-03-01,13.52,14.16,13.4701,14.16,3573
2013-03-04,14.3,14.35,14.011,14.11,4326
2013-03-05,14.2499,14.34,14.0,14.19,2338
2013-03-06,14.04,14.25,14.04,14.17,5151
2013-03-07,14.22,14.25,14.17,14.25,2007
2013-03-08,14.31,14.6,14.28,14.3,11924
2013-03-11,14.29,14.35,14.27,14.35,6349
2013-03-12,14.34,14.35,14.29,14.32,1551
2013-03-13,14.0816,14.32,13.64,13.64,1141
2013-03-14,13.5,14.34,13.5,14.3,2681
2013-03-15,14.35,14.35,13.8601,14.09,8569
2013-03-18,14.06,14.06,13.15,13.31,12231
2013-03-19,13.65,13.65,12.53,13.23,6719
2013-03-20,13.24,13.79,13.18,13.79,2205
2013-03-21,13.67,13.69,13.5,13.65,3417
2013-03-22,13.69,13.7,13.638,13.638,314
2013-03-26,13.9,13.9,13.9,13.9,300
2013-03-27,13.74,13.8,13.7,13.8,720
2013-03-28,13.925,14.0,13.925,14.0,1250
2013-04-01,13.8,14.0,13.523,13.58,5228
2013-04-02,13.8799,13.98,13.75,13.75,9524
2013-04-03,13.94,13.94,13.72,13.89,700
2013-04-04,13.88,14.35,13.88,14.05,10545
2013-04-05,14.09,14.35,13.9,14.25,800
2013-04-08,14.17,14.35,13.8,14.2,1181
2013-04-09,14.09,14.35,14.09,14.35,2106
2013-04-10,14.3,14.35,13.82,14.22,2013
2013-04-11,14.31,14.35,14.21,14.35,2243
2013-04-12,14.35,14.35,13.7481,14.21,1600
2013-04-15,14.32,14.32,13.12,13.36,5382
2013-04-16,13.45,13.705,12.94,13.5,10041
2013-04-17,13.34,14.23,13.34,13.66,3480
2013-04-18,13.2645,14.1,13.2645,13.58,937
2013-04-19,14.3399,14.3399,13.53,13.57,789
2013-04-22,13.62,13.63,13.58,13.63,396
2013-04-23,13.57,14.21,13.57,13.74,800
2013-04-24,13.61,13.61,13.59,13.59,410
2013-04-25,13.8,14.0,13.6,13.61,8950
2013-04-26,13.6,14.19,13.6,13.96,6165
2013-04-29,14.0,14.18,13.95,13.95,5658
2013-04-30,14.0,14.0,13.95,14.0,2220
2013-05-01,14.17,14.17,13.88,13.88,2148
2013-05-02,14.14,14.24,13.6225,14.24,7184
2013-05-03,14.33,14.35,14.3,14.35,2499
2013-05-06,14.21,14.49,14.21,14.38,609
2013-05-07,13.8,14.2,13.8,14.2,485724
2013-05-08,14.195,14.21,13.9001,14.12,8443
2013-05-09,14.39,14.45,14.37,14.37,1600
2013-05-10,14.37,14.37,14.26,14.35,1815
2013-05-13,14.37,14.828,14.2,14.22,20466
2013-05-14,14.22,14.5999,14.22,14.37,5590
2013-05-15,14.03,14.599,14.03,14.49,817
2013-05-16,14.51,14.51,13.945,14.35,5306
2013-05-17,14.49,14.58,14.2,14.4,3604
2013-05-20,14.6,14.6,14.3,14.4,3400
2013-05-21,14.32,14.7468,14.06,14.38,3581
2013-05-22,13.883,14.37,13.883,14.37,1443
2013-05-23,14.32,14.7999,14.32,14.35,3140
2013-05-24,14.3,14.3,13.92,14.17,2649
2013-05-28,14.41,14.88,14.41,14.65,1267
2013-05-29,14.56,14.92,14.3,14.35,1865
2013-05-30,14.38,14.89,14.38,14.78,1525
2013-05-31,14.9399,14.9399,14.21,14.69,3331
2013-06-03,14.14,14.79,14.14,14.79,6671
2013-06-04,14.59,14.59,14.21,14.26,2463
2013-06-05,14.25,14.35,14.25,14.35,848
2013-06-06,14.03,14.43,13.95,14.16,1404
2013-06-07,14.19,14.24,13.96,14.06,3071
2013-06-10,14.4118,14.4118,13.96,14.11,2496
2013-06-11,13.97,14.125,13.77,13.86,3750
2013-06-12,13.86,14.14,13.6,13.9,8368
2013-06-13,14.01,14.01,13.83,14.0,2417
2013-06-14,13.9,13.9,13.71,13.71,200
2013-06-17,13.83,14.33,13.76,13.902,4829
2013-06-18,14.03,14.48,13.64,14.085,4730
2013-06-19,14.01,14.35,14.01,14.25,4300
2013-06-20,14.3,14.3885,13.77,14.35,21848
2013-06-21,14.35,14.5,13.838,14.4,19719
2013-06-24,14.41,14.705,14.02,14.52,3225
2013-06-25,14.9399,14.94,14.01,14.84,3300
2013-06-26,14.9,16.0,14.53,16.0,23634
2013-06-27,16.0,16.0,14.295,15.715,22499
2013-06-28,15.72,16.0,15.42,15.53,8323
2013-07-01,15.62,15.63,15.25,15.27,4031
2013-07-02,15.36,15.36,15.25,15.25,2945
2013-07-03,15.32,15.58,15.25,15.32,5146
2013-07-05,15.41,15.41,15.25,15.28,3040
2013-07-08,15.27,15.55,15.27,15.44,1152
2013-07-09,15.25,15.31,15.25,15.26,1150
2013-07-10,15.26,15.3,15.22,15.22,849
2013-07-11,15.26,15.349,14.99,15.21,20595
2013-07-12,15.25,15.98,15.15,15.31,18214
2013-07-15,15.21,15.3,15.2,15.28,5574
2013-07-16,15.32,15.9,15.32,15.45,1980
2013-07-17,15.27,15.8878,15.25,15.66,3464
2013-07-18,15.31,15.66,15.31,15.51,3365
2013-07-19,15.31,15.98,15.31,15.57,7835
2013-07-22,15.68,16.08,15.551,16.0,37033
2013-07-23,16.0,16.14,15.86,16.14,31219
2013-07-24,16.1501,16.61,16.1501,16.38,8458
2013-07-25,16.38,16.72,16.26,16.48,4976
2013-07-26,16.61,16.75,16.35,16.64,2151
2013-07-29,16.7,16.75,16.51,16.51,4856
2013-07-30,16.75,16.83,16.5,16.62,12405
2013-07-31,16.78,16.91,16.57,16.57,19120
2013-08-01,16.58,17.38,16.58,16.8,31341
2013-08-02,16.81,17.377,16.77,16.77,13495
2013-08-05,16.8,16.8818,16.5,16.57,12826
2013-08-06,16.62,16.62,16.01,16.22,6116
2013-08-07,16.19,16.19,15.7,15.77,8123
2013-08-08,15.84,16.05,15.17,15.44,13245
2013-08-09,15.43,15.99,15.31,15.79,4833
2013-08-12,15.67,16.148,14.99,15.58,4253
2013-08-13,15.6,15.79,15.02,15.42,8918
2013-08-14,15.71,15.989,15.37,15.7,17561
2013-08-15,15.5,15.928,15.19,15.61,8925
