Date,Open,High,Low,Close,Volume
2013-01-02,13.61,13.92,13.42,13.7,180099
2013-01-03,13.75,13.91,13.57,13.88,120119
2013-01-04,14.0,14.376,13.84,14.19,190283
2013-01-07,14.04,14.4,13.88,13.9,132122
2013-01-08,13.87,13.9,13.43,13.63,103572
2013-01-09,13.72,13.77,13.38,13.65,53094
2013-01-10,13.68,13.68,13.37,13.55,85910
2013-01-11,13.57,13.92,13.57,13.87,78849
2013-01-14,13.85,13.95,13.71,13.83,94189
2013-01-15,13.63,13.89,13.38,13.75,328083
2013-01-16,13.74,13.81,13.58,13.68,47202
2013-01-17,13.62,13.81,13.49,13.71,62793
2013-01-18,13.66,13.7,13.52,13.55,44600
2013-01-22,13.59,13.88,13.56,13.83,158998
2013-01-23,13.77,13.85,13.68,13.83,89948
2013-01-24,13.89,13.89,13.56,13.63,128958
2013-01-25,13.76,13.76,13.55,13.69,76708
2013-01-28,13.71,13.95,13.61,13.91,216821
2013-01-29,13.9,14.6,13.8625,14.59,237475
2013-01-30,14.6,14.64,14.25,14.38,373098
2013-01-31,14.39,14.67,14.3,14.48,193119
2013-02-01,14.63,15.0,14.61,14.92,171663
2013-02-04,14.755,14.83,14.12,14.3,198474
2013-02-05,14.41,14.79,14.3202,14.51,204287
2013-02-06,14.38,14.59,14.33,14.5,94725
2013-02-07,14.47,14.53,14.18,14.4,43894
2013-02-08,14.4,14.7,14.4,14.46,66286
2013-02-11,14.42,14.58,14.241,14.55,41959
2013-02-12,14.55,14.58,14.44,14.5,52028
2013-02-13,14.57,14.72,14.34,14.52,87109
2013-02-14,14.48,14.6,14.21,14.5,37957
2013-02-15,15.44,16.18,15.06,15.46,1021301
2013-02-19,15.58,16.05,15.49,15.88,439549
2013-02-20,15.93,16.11,15.62,15.74,434721
2013-02-21,15.71,15.94,15.07,15.62,422784
2013-02-22,15.77,15.884,15.55,15.8,214974
2013-02-25,15.87,15.9,15.19,15.22,183395
2013-02-26,15.28,15.61,15.2,15.43,262561
2013-02-27,15.45,15.62,15.3,15.37,118178
2013-02-28,15.36,15.56,15.31,15.4,186768
2013-03-01,15.4,15.98,15.3,15.87,425973
2013-03-04,15.86,15.88,15.61,15.78,177683
2013-03-05,15.89,16.23,15.78,16.08,338653
2013-03-06,16.5,16.94,15.91,16.69,563523
2013-03-07,16.74,16.815,15.8,16.345,567481
2013-03-08,16.44,16.65,16.27,16.46,287623
2013-03-11,16.35,16.39,16.08,16.29,150935
2013-03-12,16.23,16.32,16.05,16.3,320639
2013-03-13,16.27,16.48,16.16,16.25,168625
2013-03-14,16.33,16.65,16.16,16.65,157271
2013-03-15,16.75,17.05,16.46,17.02,493238
2013-03-18,16.95,17.138,16.506,17.02,330595
